,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
0,27502,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
1,27502,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
2,27502,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
3,27504,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
4,27504,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
5,27504,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
6,27508,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
7,27508,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
8,27508,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
9,27511,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
10,27511,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
11,27511,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
12,27512,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
13,27512,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
14,27512,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
15,27513,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
16,27513,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
17,27513,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
18,27518,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
19,27518,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
20,27518,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
21,27519,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
22,27519,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
23,27519,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
24,27520,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
25,27520,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
26,27520,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
27,27523,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
28,27523,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
29,27523,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
30,27524,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
31,27524,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
32,27524,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
33,27525,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
34,27525,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
35,27525,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
36,27526,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
37,27526,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
38,27526,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
39,27527,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
40,27527,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
41,27527,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
42,27528,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
43,27528,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
44,27528,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
45,27529,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
46,27529,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
47,27529,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
48,27539,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
49,27539,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
50,27539,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
51,27540,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
52,27540,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
53,27540,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
54,27542,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
55,27542,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
56,27542,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
57,27545,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
58,27545,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
59,27545,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
60,27549,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
61,27549,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
62,27549,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
63,27555,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
64,27555,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
65,27555,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
66,27557,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
67,27557,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
68,27557,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
69,27560,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
70,27560,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"40,580",62.399,2.01,"94,040","91,290"
71,27560,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.7,3.34,"110,980","99,550"
72,27562,39580.0,"Raleigh, NC",All Occupations,total,"650,330",1000.0,1.0,"54,850","41,640"
