,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
56,27576,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
57,27576,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
58,27577,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
59,27577,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
60,27587,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
61,27587,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
62,27588,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
63,27588,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
64,27591,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
65,27591,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
66,27592,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
67,27592,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
68,27593,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
69,27593,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
70,27596,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
71,27596,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
72,27597,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
73,27597,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
74,27601,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
75,27601,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
76,27602,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
77,27602,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
78,27603,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
79,27603,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
80,27604,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
81,27604,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
82,27605,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
83,27605,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
84,27606,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
85,27606,39580.0,"Raleigh, NC",Computer and Mathematical Occupations,major,"35,840",56.934,1.88,"91,680","89,320"
86,27607,39580.0,"Raleigh, NC",All Occupations,total,"629,570",1000.0,1.0,"52,580","39,460"
