zip_austin_2014,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,7488,4370,58.4,6.4,32,0.8
 77426,1710,955,55.8,4.5,0,0.0
 77473,56,34,60.7,47.1,0,0.0
 77474,9870,6705,67.9,8.5,77,1.3
 77485,3018,1921,63.7,3.6,35,1.9
 77833,23214,12764,55.0,4.0,265,2.2
 77835,1821,933,51.2,2.3,0,0.0
 78931,150,77,51.3,0.0,0,0.0
 78933,1167,651,55.8,0.0,0,0.0
 78940,1964,1187,60.4,1.8,16,1.4
 78944,526,307,58.4,5.5,4,1.4
 78950,2270,1416,62.4,6.4,35,2.6
 78954,922,416,45.1,4.8,0,0.0
"Austin CCD, Travis County, Texas",655785,472951,72.1,7.0,11957,2.7
