zip_austin_2018,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,8601,4871,56.6,8.3,9,0.2
 77426,1685,985,58.5,7.1,0,0.0
 77473,54,32,59.3,21.9,0,0.0
 77474,9786,6697,68.4,2.5,86,1.3
 77485,3389,1758,51.9,6.0,26,1.6
 77833,23772,13576,57.1,5.5,190,1.5
 77835,1969,947,48.1,3.5,0,0.0
 78931,194,107,55.2,0.0,0,0.0
 78933,1048,571,54.5,0.0,0,0.0
 78940,1949,1170,60.0,1.7,8,0.7
 78944,507,273,53.8,0.7,3,1.1
 78950,1523,848,55.7,2.2,18,2.2
 78954,1020,491,48.1,2.4,0,0.0
"Austin CCD, Travis County, Texas",720697,524517,72.8,4.0,16937,3.4
