zip_austin_2019,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,8654,4873,56.3,8.5,22,0.5
 77426,2106,1210,57.5,8.7,0,0.0
 77473,55,19,34.5,0.0,0,0.0
 77474,9476,6361,67.1,5.1,17,0.3
 77485,3528,1779,50.4,4.7,32,1.9
 77833,23930,13752,57.5,5.1,180,1.4
 77835,1965,1132,57.6,3.5,0,0.0
 78931,274,165,60.2,0.0,0,0.0
 78933,1006,568,56.5,0.0,0,0.0
 78940,2150,1264,58.8,2.0,9,0.7
 78944,490,246,50.2,0.4,4,1.6
 78950,1568,856,54.6,0.0,0,0.0
 78954,1019,526,51.6,2.1,0,0.0
"Austin CCD, Travis County, Texas",735931,537817,73.1,3.8,17569,3.4
