zip_austin_2011,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,7382,4418,59.8,5.2,17,0.4
 77426,1294,597,46.1,0.2,0,0.0
 77473,67,39,58.2,7.7,0,0.0
 77474,10066,7039,69.9,6.4,40,0.6
 77485,2749,1612,58.6,2.5,19,1.2
 77833,22458,13129,58.5,5.3,298,2.4
 77835,1864,912,48.9,2.5,17,1.9
 78931,193,94,48.7,0.0,0,0.0
 78933,955,607,63.6,7.2,31,5.5
 78940,1818,1188,65.3,1.9,39,3.3
 78944,456,284,62.3,2.1,5,1.8
 78950,1764,1195,67.7,5.8,9,0.8
 78954,979,558,57.0,0.0,0,0.0
"Austin CCD, Travis County, Texas",606764,441616,72.8,7.1,10638,2.6
