zip_austin_2016,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,8000,4426,55.3,7.7,32,0.8
 77426,2014,1040,51.6,3.4,0,0.0
 77473,66,42,63.6,26.2,0,0.0
 77474,9713,6604,68.0,5.2,95,1.5
 77485,3394,1900,56.0,5.1,67,3.7
 77833,23429,13056,55.7,4.8,217,1.7
 77835,1710,957,56.0,2.4,0,0.0
 78931,143,56,39.2,0.0,0,0.0
 78933,1026,563,54.9,0.0,0,0.0
 78940,1851,1009,54.5,1.6,10,1.0
 78944,508,336,66.1,6.8,5,1.6
 78950,2120,1083,51.1,4.1,29,2.8
 78954,974,462,47.4,5.4,0,0.0
"Austin CCD, Travis County, Texas",689293,499123,72.4,5.2,14863,3.1
