zip_austin_2017,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,8195,4590,56.0,9.7,0,0.0
 77426,1994,1109,55.6,7.3,0,0.0
 77473,80,43,53.8,25.6,0,0.0
 77474,9816,6617,67.4,2.9,66,1.0
 77485,3667,1941,52.9,5.3,26,1.4
 77833,23233,13214,56.9,5.4,199,1.6
 77835,2231,1295,58.0,5.3,0,0.0
 78931,212,125,59.0,0.0,0,0.0
 78933,1034,487,47.1,0.0,0,0.0
 78940,2042,1128,55.2,1.4,9,0.8
 78944,481,304,63.2,11.8,2,0.7
 78950,1768,966,54.6,2.2,19,2.0
 78954,1117,545,48.8,3.1,0,0.0
"Austin CCD, Travis County, Texas",704555,511712,72.6,4.5,15957,3.3
