zip_austin_2015,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 77418,7875,4551,57.8,6.4,34,0.8
 77426,1826,861,47.2,3.5,0,0.0
 77473,64,44,68.8,31.8,0,0.0
 77474,9731,6739,69.3,6.9,75,1.2
 77485,3274,2001,61.1,3.8,57,3.0
 77833,23284,12898,55.4,4.9,231,1.9
 77835,1706,930,54.5,2.4,0,0.0
 78931,153,57,37.3,0.0,0,0.0
 78933,1059,552,52.1,0.0,0,0.0
 78940,1866,1052,56.4,1.2,16,1.5
 78944,429,290,67.6,7.6,5,1.9
 78950,2041,1134,55.6,5.5,32,3.0
 78954,904,410,45.4,6.3,0,0.0
"Austin CCD, Travis County, Texas",674644,487173,72.2,6.1,13585,3.0
