,ZIP,MSA,AREA,OCCUPATION,GROUP,TOTAL EMPLOYMENT,JOBS PER 1000,LOCATION QUOTIENT,ANNUAL MEAN,ANNUAL MEDIAN
70,27502,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
617,27504,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
1164,27508,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
1711,27511,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
2258,27512,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
2805,27513,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
3352,27518,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
3899,27519,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
4446,27520,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
4993,27523,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
5540,27524,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
6087,27525,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
6634,27526,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
7181,27527,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
7728,27528,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
8275,27529,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
8822,27539,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
9369,27540,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
9916,27542,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
10463,27545,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
11010,27549,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
11557,27555,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
12104,27557,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
12651,27560,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
13198,27562,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
13745,27568,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
14292,27569,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
14839,27571,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
15386,27576,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
15933,27577,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
16480,27587,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
17027,27588,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
17574,27591,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
18121,27592,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
18668,27593,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
19215,27596,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
19762,27597,39580.0,"Raleigh, NC","Data Scientists and Mathematical Science Occupations, All Other",detailed,460,0.700,3.34,"110,980","99,550"
