zip_miami_2018,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,40572,22572,55.6,6.3,402,1.9
 33012,64872,36452,56.2,6.1,508,1.5
 33013,28617,16019,56.0,4.6,187,1.2
 33014,34282,20261,59.1,4.7,534,2.8
 33015,53393,35746,66.9,5.1,709,2.1
 33016,41968,26912,64.1,4.9,267,1.0
 33018,43107,29704,68.9,3.9,668,2.3
 33030,26022,16683,64.1,6.4,97,0.6
 33031,5655,3960,70.0,5.2,41,1.1
 33032,34966,23722,67.8,8.9,435,2.0
 33033,42367,26773,63.2,8.6,199,0.8
 33034,16419,8289,50.5,14.5,26,0.4
 33035,11478,8463,73.7,8.8,25,0.3
 33039,345,293,84.9,14.3,0,0.0
 33054,24801,12670,51.1,11.1,101,0.9
 33055,35129,20293,57.8,7.3,591,3.1
 33056,28489,17228,60.5,13.3,401,2.7
 33101,0,0,-,-,0,-
 33109,475,179,37.7,0.0,0,0.0
 33122,81,44,54.3,0.0,0,0.0
 33125,52425,29043,55.4,4.5,481,1.7
 33126,45530,28368,62.3,7.0,415,1.6
 33127,26451,15442,58.4,11.1,109,0.8
 33128,6404,3654,57.1,9.4,30,0.9
 33129,11260,8178,72.6,5.2,377,4.9
 33130,24055,15454,64.2,4.7,415,2.8
 33131,14842,11423,77.0,3.1,477,4.3
 33132,12088,7758,64.2,1.8,212,2.8
 33133,28193,17984,63.8,6.2,410,2.4
 33134,35905,23401,65.2,3.6,688,3.1
 33135,33829,19810,58.6,7.7,144,0.8
 33136,12313,7681,62.4,12.6,77,1.2
 33137,20897,15230,72.9,5.9,578,4.0
 33138,24624,16714,67.9,8.1,702,4.6
 33139,34243,24754,72.3,3.9,807,3.4
 33140,17886,10879,60.8,3.4,322,3.1
 33141,34823,25172,72.3,4.4,549,2.3
 33142,45910,25405,55.3,11.5,254,1.1
 33143,26567,17835,67.1,5.7,239,1.4
 33144,26525,16241,61.2,8.1,169,1.1
 33145,27289,17783,65.2,5.0,456,2.7
 33146,13667,7255,53.1,6.0,161,2.4
 33147,37404,21083,56.4,10.6,359,1.9
 33149,9781,5816,59.5,4.4,198,3.6
 33150,22721,13672,60.2,17.3,127,1.1
 33154,11540,6866,59.5,6.0,322,5.0
 33155,40248,25329,62.9,3.4,634,2.6
 33156,27533,17066,62.0,4.7,350,2.2
 33157,53250,33778,63.4,6.9,573,1.8
 33158,5121,3257,63.6,5.2,58,1.9
 33160,35605,20569,57.8,4.4,426,2.2
 33161,43542,28295,65.0,9.5,195,0.8
 33162,38187,25018,65.5,10.5,201,0.9
 33165,47922,28775,60.0,3.0,514,1.8
 33166,21116,12911,61.1,4.7,294,2.4
 33167,16139,9752,60.4,8.2,177,2.0
 33168,23710,14693,62.0,9.9,93,0.7
 33169,32112,20317,63.3,8.6,381,2.1
 33170,10370,5884,56.7,9.6,105,2.0
 33172,36005,23384,64.9,4.2,625,2.8
 33173,26905,16626,61.8,3.6,273,1.7
 33174,29755,17309,58.2,5.8,227,1.4
 33175,47926,28487,59.4,4.4,538,2.0
 33176,43599,28488,65.3,4.4,673,2.5
 33177,48231,29152,60.4,5.5,453,1.6
 33178,38581,26503,68.7,3.8,875,3.4
 33179,37175,24609,66.2,7.6,516,2.3
 33180,27387,16092,58.8,5.5,418,2.7
 33181,16756,10870,64.9,8.6,164,1.7
 33182,15020,7157,47.6,2.1,225,3.2
 33183,31007,19929,64.3,5.5,343,1.8
 33184,19050,10982,57.6,5.9,90,0.9
 33185,25236,16604,65.8,3.6,401,2.5
 33186,57677,37591,65.2,3.5,751,2.1
 33187,15771,10525,66.7,6.6,212,2.2
 33189,21057,14130,67.1,5.4,76,0.6
 33190,12104,8676,71.7,7.7,256,3.2
 33193,42418,27209,64.1,5.0,354,1.4
 33194,6880,3286,47.8,3.7,20,0.6
 33196,41532,27529,66.3,5.5,539,2.1
"Miami CCD, Miami-Dade County, Florida",820007,507529,61.9,7.6,9543,2.0
