zip_miami_2015,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,39132,21912,56.0,13.4,270,1.4
 33012,64899,36823,56.7,9.0,668,2.0
 33013,29214,15439,52.8,11.4,159,1.2
 33014,33656,20418,60.7,12.4,260,1.5
 33015,53015,36087,68.1,6.1,580,1.7
 33016,40522,25932,64.0,11.9,369,1.6
 33018,40115,26312,65.6,7.8,593,2.4
 33030,25739,15892,61.7,14.7,82,0.6
 33031,5324,3486,65.5,9.4,0,0.0
 33032,30049,19713,65.6,14.8,225,1.3
 33033,40979,26004,63.5,14.2,297,1.4
 33034,16769,7535,44.9,21.1,26,0.4
 33035,11107,7948,71.6,11.5,141,2.0
 33039,331,214,64.7,12.1,0,0.0
 33054,23811,11361,47.7,12.0,235,2.4
 33055,37220,22807,61.3,14.0,359,1.8
 33056,27482,16866,61.4,17.7,293,2.1
 33101,0,0,-,-,0,-
 33109,453,249,55.0,0.0,0,0.0
 33122,0,0,-,-,0,-
 33125,48455,26993,55.7,6.6,465,1.8
 33126,43535,28051,64.4,11.8,315,1.3
 33127,24524,14233,58.0,16.0,133,1.1
 33128,6602,3918,59.3,16.1,19,0.6
 33129,10994,8009,72.8,6.5,346,4.6
 33130,19523,12715,65.1,4.4,260,2.1
 33131,13743,10753,78.2,3.1,357,3.4
 33132,9886,6465,65.4,5.3,214,3.5
 33133,27688,18616,67.2,9.3,374,2.2
 33134,37082,23752,64.1,7.2,398,1.8
 33135,32306,18735,58.0,14.0,140,0.9
 33136,11038,6080,55.1,25.5,52,1.2
 33137,19559,14402,73.6,10.4,623,4.8
 33138,23673,15807,66.8,11.3,685,4.9
 33139,33795,24802,73.4,4.2,830,3.5
 33140,18184,10711,58.9,5.6,268,2.7
 33141,33019,22295,67.5,5.8,561,2.7
 33142,44352,24278,54.7,18.5,228,1.2
 33143,26550,18218,68.6,6.5,313,1.8
 33144,23640,13939,59.0,14.0,130,1.1
 33145,27388,18139,66.2,8.8,296,1.8
 33146,12949,7027,54.3,4.5,191,2.8
 33147,34521,20422,59.2,18.9,516,3.1
 33149,9446,5224,55.3,4.8,205,4.1
 33150,21669,13205,60.9,21.4,152,1.5
 33154,11314,6925,61.2,5.5,273,4.2
 33155,39482,24864,63.0,7.6,704,3.1
 33156,26448,16610,62.8,7.0,361,2.3
 33157,53471,33733,63.1,9.5,579,1.9
 33158,5775,3669,63.5,6.3,59,1.7
 33160,34378,19703,57.3,5.4,379,2.0
 33161,43618,26789,61.4,13.4,300,1.3
 33162,38133,24293,63.7,14.5,382,1.8
 33165,49437,29431,59.5,6.6,805,2.9
 33166,20643,12207,59.1,10.0,204,1.9
 33167,16435,9770,59.4,13.8,242,2.9
 33168,24177,15083,62.4,14.1,141,1.1
 33169,31420,20970,66.7,14.3,429,2.4
 33170,10002,5591,55.9,11.0,164,3.3
 33172,33668,21959,65.2,8.4,556,2.8
 33173,27821,17791,63.9,6.8,283,1.7
 33174,27612,15541,56.3,8.2,185,1.3
 33175,46553,28752,61.8,7.2,587,2.2
 33176,42550,28125,66.1,8.2,559,2.2
 33177,47095,29413,62.5,8.7,331,1.2
 33178,33071,21673,65.5,4.6,1039,5.0
 33179,35213,22771,64.7,9.9,584,2.8
 33180,27371,15331,56.0,7.7,408,2.9
 33181,15234,9740,63.9,8.3,182,2.0
 33182,15578,8050,51.7,7.6,281,3.8
 33183,32093,20749,64.7,9.2,341,1.8
 33184,18993,11234,59.1,8.3,138,1.3
 33185,23830,15913,66.8,6.8,434,2.9
 33186,58094,39082,67.3,7.8,767,2.1
 33187,13796,8785,63.7,9.0,67,0.8
 33189,19577,12635,64.5,9.5,250,2.2
 33190,9880,6876,69.6,9.7,129,2.1
 33193,41946,26569,63.3,7.4,364,1.5
 33194,6465,2946,45.6,5.7,0,0.0
 33196,37294,24624,66.0,8.5,543,2.4
"Miami CCD, Miami-Dade County, Florida",786001,485114,61.7,11.4,9311,2.2
