zip_miami_2012,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,38977,21705,55.7,15.0,177,1.0
 33012,63600,36893,58.0,9.4,769,2.3
 33013,27403,15264,55.7,15.0,181,1.4
 33014,33897,21039,62.1,12.5,434,2.4
 33015,48199,33679,69.9,7.8,837,2.7
 33016,37290,24489,65.7,12.5,518,2.4
 33018,37270,24539,65.8,9.2,418,1.9
 33030,23532,15671,66.6,14.8,239,1.8
 33031,5340,3258,61.0,9.4,0,0.0
 33032,25073,16137,64.4,12.6,465,3.3
 33033,36322,23309,64.2,11.5,317,1.6
 33034,22719,6665,29.3,15.9,85,1.5
 33035,9108,6306,69.2,10.6,181,3.3
 33039,205,126,61.5,0.0,0,0.0
 33054,22364,11351,50.8,13.9,132,1.4
 33055,36013,22677,63.0,14.8,346,1.8
 33056,26174,16387,62.6,18.1,287,2.1
 33101,0,0,-,-,0,-
 33109,354,218,61.6,8.7,9,4.5
 33122,0,0,-,-,0,-
 33125,45521,25749,56.6,9.8,317,1.4
 33126,39686,26016,65.6,13.5,448,2.0
 33127,22772,12830,56.3,21.8,168,1.7
 33128,6434,3651,56.7,13.0,31,1.0
 33129,11355,7791,68.6,6.0,371,5.1
 33130,19916,12324,61.9,6.2,205,1.8
 33131,11146,8842,79.3,4.5,345,4.1
 33132,7954,5400,67.9,6.8,178,3.6
 33133,27524,18510,67.3,10.7,423,2.6
 33134,32447,20304,62.6,10.7,536,3.0
 33135,30347,17352,57.2,13.9,123,0.8
 33136,10424,5863,56.2,22.1,55,1.2
 33137,16781,11965,71.3,12.9,363,3.5
 33138,22180,14915,67.2,13.3,355,2.7
 33139,34774,25495,73.3,6.0,851,3.6
 33140,17107,10609,62.0,5.3,139,1.4
 33141,30768,21139,68.7,7.2,558,2.9
 33142,44566,24252,54.4,18.0,159,0.8
 33143,25428,16692,65.6,8.3,275,1.8
 33144,22043,13056,59.2,17.4,169,1.6
 33145,26823,16502,61.5,8.9,141,0.9
 33146,13415,6641,49.5,6.7,76,1.2
 33147,34269,21043,61.4,20.0,233,1.4
 33149,8894,4843,54.5,3.4,239,5.1
 33150,21165,12659,59.8,19.6,133,1.3
 33154,11210,6891,61.5,6.6,194,3.0
 33155,38978,25575,65.6,8.6,572,2.5
 33156,24714,15414,62.4,6.6,391,2.7
 33157,51904,33521,64.6,10.7,730,2.4
 33158,5422,3404,62.8,5.3,38,1.2
 33160,32339,18432,57.0,6.5,493,2.9
 33161,40261,25156,62.5,14.0,326,1.5
 33162,35197,24025,68.3,17.5,318,1.6
 33165,47611,27144,57.0,7.5,702,2.8
 33166,18013,11749,65.2,13.2,233,2.3
 33167,15178,8866,58.4,15.2,53,0.7
 33168,22371,14294,63.9,15.6,156,1.3
 33169,28761,19775,68.8,15.4,454,2.7
 33170,9352,5749,61.5,16.0,89,1.8
 33172,30882,20411,66.1,10.8,417,2.3
 33173,29593,19527,66.0,10.8,448,2.6
 33174,24990,13998,56.0,10.2,152,1.2
 33175,45303,28840,63.7,10.9,707,2.8
 33176,41220,27409,66.5,10.8,491,2.0
 33177,43460,27609,63.5,10.6,542,2.2
 33178,30548,19062,62.4,4.6,707,3.9
 33179,32803,22130,67.5,9.2,410,2.0
 33180,26439,14728,55.7,10.9,468,3.6
 33181,13837,9191,66.4,11.1,145,1.8
 33182,12746,8159,64.0,10.1,249,3.4
 33183,30131,20641,68.5,9.9,400,2.2
 33184,17605,10994,62.4,6.3,169,1.6
 33185,21970,14875,67.7,7.2,378,2.7
 33186,56906,40240,70.7,8.8,842,2.3
 33187,12651,8083,63.9,12.3,89,1.3
 33189,16581,10965,66.1,10.7,267,2.7
 33190,8430,6039,71.6,10.0,75,1.4
 33193,35998,23878,66.3,9.9,482,2.2
 33194,6305,3064,48.6,9.7,67,2.4
 33196,34931,24601,70.4,11.1,617,2.8
"Miami CCD, Miami-Dade County, Florida",741134,458305,61.8,12.9,7867,2.0
