zip_miami_2017,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,40326,22113,54.8,7.6,439,2.1
 33012,65507,36042,55.0,7.3,663,2.0
 33013,29667,15800,53.3,6.1,153,1.0
 33014,33641,19373,57.6,6.1,353,1.9
 33015,53655,35764,66.7,5.8,573,1.7
 33016,42654,26935,63.1,6.8,287,1.1
 33018,41360,27026,65.3,4.8,618,2.4
 33030,25357,15723,62.0,9.2,172,1.2
 33031,4931,3387,68.7,5.9,36,1.1
 33032,33754,22469,66.6,11.5,461,2.3
 33033,42491,26044,61.3,12.0,312,1.4
 33034,17244,8324,48.3,17.6,11,0.2
 33035,11807,8573,72.6,9.7,171,2.2
 33039,391,360,92.1,15.8,0,0.0
 33054,25409,13030,51.3,11.8,213,1.9
 33055,36542,21852,59.8,8.7,574,2.9
 33056,27652,16824,60.8,13.7,346,2.4
 33101,0,0,-,-,0,-
 33109,431,164,38.1,0.0,0,0.0
 33122,292,174,59.6,0.0,24,13.8
 33125,51610,29057,56.3,5.2,473,1.7
 33126,46169,29153,63.1,8.0,348,1.3
 33127,24857,14479,58.2,12.1,114,0.9
 33128,6203,3506,56.5,14.2,30,1.0
 33129,10727,7541,70.3,4.6,366,5.1
 33130,21913,14234,65.0,3.7,254,1.9
 33131,14516,11058,76.2,3.7,412,3.9
 33132,11059,7053,63.8,4.5,240,3.6
 33133,28146,18301,65.0,7.1,400,2.4
 33134,36761,24166,65.7,4.4,565,2.4
 33135,33771,19608,58.1,9.1,133,0.7
 33136,11509,7000,60.8,16.7,99,1.7
 33137,20252,15104,74.6,6.5,474,3.4
 33138,24565,16067,65.4,10.1,599,4.1
 33139,33678,24673,73.3,4.2,771,3.3
 33140,18062,11014,61.0,4.0,357,3.4
 33141,35110,25163,71.7,5.0,622,2.6
 33142,44403,24176,54.4,14.1,243,1.2
 33143,26293,18181,69.1,6.5,369,2.2
 33144,26015,15781,60.7,7.8,124,0.9
 33145,27810,17993,64.7,6.4,348,2.1
 33146,13501,7194,53.3,4.3,182,2.6
 33147,36922,20564,55.7,13.3,480,2.7
 33149,9734,5652,58.1,4.3,135,2.5
 33150,21860,13098,59.9,19.2,144,1.4
 33154,11314,6797,60.1,5.8,279,4.4
 33155,39209,24595,62.7,4.3,707,3.0
 33156,26974,16774,62.2,4.8,367,2.3
 33157,54352,33823,62.2,7.5,467,1.5
 33158,5079,3143,61.9,5.4,72,2.4
 33160,35969,20974,58.3,4.9,365,1.8
 33161,44889,28496,63.5,10.7,218,0.9
 33162,37790,24061,63.7,10.2,238,1.1
 33165,49068,29431,60.0,4.0,628,2.2
 33166,20776,12548,60.4,5.5,229,1.9
 33167,16773,10031,59.8,10.2,256,2.8
 33168,23536,14708,62.5,12.3,135,1.0
 33169,31090,20254,65.1,10.2,420,2.3
 33170,10705,5651,52.8,10.2,126,2.5
 33172,35959,23433,65.2,4.8,642,2.9
 33173,26699,16858,63.1,5.1,247,1.5
 33174,30042,17639,58.7,6.3,180,1.1
 33175,46848,27951,59.7,5.5,532,2.0
 33176,43873,28540,65.1,5.6,702,2.6
 33177,48156,29864,62.0,6.8,318,1.1
 33178,36901,24940,67.6,4.6,977,4.1
 33179,36472,23611,64.7,8.1,477,2.2
 33180,27068,15343,56.7,4.9,463,3.2
 33181,16499,10743,65.1,9.7,208,2.1
 33182,15601,7464,47.8,2.9,206,2.8
 33183,32445,20718,63.9,6.4,368,1.9
 33184,19957,11857,59.4,6.2,77,0.7
 33185,25822,17045,66.0,5.1,478,3.0
 33186,57877,38482,66.5,5.3,763,2.1
 33187,15045,9980,66.3,6.5,208,2.2
 33189,21102,14332,67.9,7.5,174,1.3
 33190,11711,8414,71.8,8.2,222,2.9
 33193,42442,27010,63.6,6.0,320,1.3
 33194,6333,2867,45.3,5.5,29,1.1
 33196,40366,26812,66.4,5.9,588,2.3
"Miami CCD, Miami-Dade County, Florida",809048,499253,61.7,8.7,9221,2.0
