zip_miami_2014,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,39487,21848,55.3,15.2,246,1.3
 33012,64179,36765,57.3,9.9,794,2.4
 33013,29184,15765,54.0,13.0,204,1.5
 33014,33068,20537,62.1,13.8,341,1.9
 33015,52085,35410,68.0,7.1,680,2.1
 33016,40082,25434,63.5,13.8,466,2.1
 33018,38366,24738,64.5,10.4,464,2.1
 33030,25452,15924,62.6,16.3,148,1.1
 33031,5039,3113,61.8,11.4,0,0.0
 33032,28074,18388,65.5,16.1,274,1.8
 33033,38734,24572,63.4,12.5,308,1.5
 33034,19381,7346,37.9,20.7,25,0.4
 33035,10345,7119,68.8,11.9,196,3.2
 33039,274,172,62.8,14.5,0,0.0
 33054,22965,11858,51.6,14.5,193,1.9
 33055,36985,22756,61.5,14.9,302,1.6
 33056,27584,17193,62.3,17.8,306,2.2
 33101,0,0,-,-,0,-
 33109,371,195,52.6,0.0,0,0.0
 33122,0,0,-,-,0,-
 33125,48465,27069,55.9,8.2,317,1.3
 33126,40829,26419,64.7,12.6,289,1.3
 33127,23155,12840,55.5,18.6,130,1.2
 33128,6322,3778,59.8,15.9,19,0.6
 33129,11626,8166,70.2,6.9,414,5.4
 33130,20141,12721,63.2,6.3,295,2.5
 33131,13410,10547,78.7,4.4,493,4.9
 33132,9735,6739,69.2,6.8,226,3.6
 33133,27879,19163,68.7,11.8,466,2.8
 33134,35683,22670,63.5,9.4,432,2.1
 33135,30330,17625,58.1,14.6,147,1.0
 33136,10806,6038,55.9,26.3,44,1.0
 33137,18371,13496,73.5,12.0,452,3.8
 33138,23211,15053,64.9,13.2,472,3.6
 33139,34048,24896,73.1,4.9,809,3.4
 33140,18622,11354,61.0,5.2,224,2.1
 33141,32180,21745,67.6,6.5,553,2.7
 33142,43518,23638,54.3,19.1,120,0.6
 33143,26581,17914,67.4,7.8,338,2.0
 33144,22734,13368,58.8,16.7,168,1.5
 33145,26518,16616,62.7,9.8,168,1.1
 33146,12959,6967,53.8,6.7,131,2.0
 33147,34191,20380,59.6,20.5,547,3.4
 33149,9069,5146,56.7,4.7,166,3.4
 33150,21897,13149,60.0,22.5,130,1.3
 33154,11165,6658,59.6,6.5,292,4.7
 33155,40090,25320,63.2,9.5,668,2.9
 33156,26755,16915,63.2,7.6,340,2.2
 33157,53741,34006,63.3,10.9,614,2.0
 33158,5747,3603,62.7,8.2,32,1.0
 33160,34105,19006,55.7,5.8,439,2.5
 33161,43272,26606,61.5,14.9,402,1.8
 33162,37371,24493,65.5,16.7,375,1.8
 33165,48205,28362,58.8,7.8,795,3.0
 33166,19843,12203,61.5,12.5,188,1.8
 33167,16174,9357,57.9,13.5,238,2.9
 33168,23565,14547,61.7,17.1,165,1.4
 33169,29706,20287,68.3,15.3,407,2.4
 33170,9872,5761,58.4,17.7,159,3.4
 33172,33207,21409,64.5,9.6,428,2.2
 33173,28908,18838,65.2,9.1,313,1.8
 33174,26873,14820,55.1,10.6,177,1.3
 33175,46188,28932,62.6,9.2,725,2.8
 33176,42534,28062,66.0,9.2,531,2.1
 33177,45729,28898,63.2,10.0,407,1.6
 33178,31750,20686,65.2,4.5,972,4.9
 33179,34963,22616,64.7,10.1,530,2.6
 33180,26476,14577,55.1,9.5,383,2.9
 33181,14649,9474,64.7,10.9,188,2.2
 33182,15011,8158,54.3,8.1,266,3.5
 33183,31582,20721,65.6,11.0,301,1.6
 33184,18534,11260,60.8,8.9,169,1.7
 33185,23164,15465,66.8,7.9,387,2.7
 33186,57361,38616,67.3,9.0,709,2.0
 33187,13114,8436,64.3,8.4,78,1.0
 33189,19148,12456,65.1,9.9,333,3.0
 33190,9446,6777,71.7,10.3,100,1.7
 33193,39862,25526,64.0,8.8,470,2.0
 33194,7277,3463,47.6,7.6,0,0.0
 33196,36978,25189,68.1,10.0,570,2.5
"Miami CCD, Miami-Dade County, Florida",770405,474713,61.6,12.9,8866,2.1
