zip_miami_2019,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,39061,22276,57.0,5.2,385,1.8
 33012,63380,34313,54.1,4.7,408,1.2
 33013,27550,15722,57.1,4.4,112,0.7
 33014,34802,20990,60.3,4.6,502,2.5
 33015,54309,36324,66.9,5.0,663,1.9
 33016,42054,27153,64.6,3.4,309,1.2
 33018,43761,30768,70.3,3.3,674,2.3
 33030,25103,16508,65.8,4.8,97,0.6
 33031,5580,3817,68.4,3.6,66,1.8
 33032,36983,25523,69.0,7.8,449,1.9
 33033,42059,27423,65.2,8.6,314,1.3
 33034,15295,7712,50.4,12.0,29,0.4
 33035,11960,8552,71.5,8.2,23,0.3
 33039,270,144,53.3,0.0,0,0.0
 33054,24870,13224,53.2,9.6,248,2.1
 33055,33233,18594,56.0,5.5,440,2.5
 33056,27975,16418,58.7,11.1,364,2.5
 33101,0,0,-,-,0,-
 33109,392,153,39.0,0.0,0,0.0
 33122,162,89,54.9,0.0,0,0.0
 33125,51745,28277,54.6,4.0,484,1.8
 33126,45566,28675,62.9,4.6,478,1.7
 33127,25056,14650,58.5,10.9,140,1.1
 33128,6782,3923,57.8,9.2,12,0.3
 33129,11679,8541,73.1,3.6,250,3.0
 33130,26191,16923,64.6,3.2,438,2.7
 33131,16367,13300,81.3,2.8,520,4.0
 33132,13014,8941,68.7,3.0,233,2.7
 33133,28712,18074,62.9,5.0,464,2.7
 33134,34176,22045,64.5,2.7,695,3.2
 33135,33116,19338,58.4,7.6,210,1.2
 33136,12935,8312,64.3,11.5,66,0.9
 33137,19642,14426,73.4,4.4,612,4.4
 33138,24688,16988,68.8,7.0,718,4.5
 33139,34587,24913,72.0,4.0,770,3.2
 33140,16472,10236,62.1,3.2,249,2.5
 33141,34515,24834,72.0,3.4,544,2.3
 33142,45872,26551,57.9,9.0,275,1.1
 33143,25687,16624,64.7,5.1,198,1.3
 33144,25834,15472,59.9,5.1,168,1.1
 33145,26628,17139,64.4,3.7,449,2.7
 33146,13940,7535,54.1,6.0,192,2.7
 33147,37010,20965,56.6,9.6,166,0.9
 33149,9737,5918,60.8,5.3,234,4.2
 33150,22743,13429,59.0,14.0,109,0.9
 33154,11390,6735,59.1,7.6,304,4.9
 33155,39789,24769,62.3,2.5,529,2.2
 33156,26866,16943,63.1,3.6,465,2.8
 33157,52717,33602,63.7,5.9,543,1.7
 33158,4928,3020,61.3,4.5,82,2.8
 33160,34495,20455,59.3,4.4,273,1.4
 33161,43820,28694,65.5,8.4,161,0.6
 33162,37227,24413,65.6,6.8,117,0.5
 33165,47563,28179,59.2,2.9,626,2.3
 33166,20393,12515,61.4,3.3,359,3.0
 33167,16093,9284,57.7,7.2,116,1.3
 33168,22686,14058,62.0,7.4,75,0.6
 33169,31994,20213,63.2,6.7,374,2.0
 33170,11025,6190,56.1,8.4,19,0.3
 33172,36116,23768,65.8,4.0,495,2.2
 33173,28081,17694,63.0,4.0,338,2.0
 33174,30549,17822,58.3,5.8,226,1.3
 33175,46329,27723,59.8,3.5,404,1.5
 33176,43570,28560,65.5,4.1,633,2.3
 33177,47269,28743,60.8,4.8,455,1.7
 33178,39489,26539,67.2,3.5,1049,4.1
 33179,36857,24560,66.6,6.0,444,1.9
 33180,27899,16569,59.4,5.2,295,1.9
 33181,16855,10990,65.2,7.4,138,1.4
 33182,14375,7122,49.5,1.4,238,3.4
 33183,30789,19508,63.4,4.3,280,1.5
 33184,19193,11085,57.8,4.7,55,0.5
 33185,25469,16528,64.9,2.4,390,2.4
 33186,55972,36686,65.5,2.8,831,2.3
 33187,15929,10446,65.6,5.4,172,1.7
 33189,19896,13235,66.5,4.6,60,0.5
 33190,12542,8721,69.5,7.4,253,3.1
 33193,41323,27119,65.6,4.2,329,1.3
 33194,6584,3100,47.1,2.3,48,1.6
 33196,42287,27991,66.2,4.5,643,2.4
"Miami CCD, Miami-Dade County, Florida",816229,507198,62.1,6.3,9040,1.9
