zip_miami_2013,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 33010,39320,21894,55.7,15.3,156,0.8
 33012,63684,36325,57.0,10.5,793,2.4
 33013,27356,15063,55.1,16.1,149,1.2
 33014,33620,20344,60.5,14.4,329,1.9
 33015,50028,34881,69.7,7.6,804,2.5
 33016,38850,24837,63.9,13.3,458,2.1
 33018,37996,24182,63.6,10.6,394,1.8
 33030,24362,15710,64.5,17.1,166,1.3
 33031,5153,3060,59.4,11.9,0,0.0
 33032,26887,17329,64.5,15.6,350,2.4
 33033,37344,23849,63.9,13.0,385,1.9
 33034,21092,6764,32.1,19.6,64,1.2
 33035,10027,6807,67.9,12.1,353,6.1
 33039,276,180,65.2,12.8,0,0.0
 33054,22182,11293,50.9,14.2,150,1.6
 33055,37064,23620,63.7,15.1,321,1.6
 33056,26181,16368,62.5,17.9,291,2.2
 33101,0,0,-,-,0,-
 33109,364,231,63.5,9.1,7,3.3
 33122,0,0,-,-,0,-
 33125,45987,26120,56.8,9.4,251,1.1
 33126,40163,26098,65.0,13.5,326,1.4
 33127,22729,12747,56.1,21.7,186,1.9
 33128,6333,3818,60.3,13.2,28,0.8
 33129,11890,8181,68.8,6.1,345,4.5
 33130,20120,12407,61.7,5.8,250,2.1
 33131,12512,10036,80.2,5.0,446,4.7
 33132,9423,6607,70.1,8.2,219,3.6
 33133,27625,19062,69.0,11.1,485,2.9
 33134,34278,21472,62.6,10.6,370,1.9
 33135,30127,17133,56.9,16.0,140,1.0
 33136,10528,5775,54.9,24.8,38,0.9
 33137,17464,12637,72.4,12.4,359,3.2
 33138,22987,15124,65.8,14.2,369,2.8
 33139,34270,25233,73.6,4.8,861,3.6
 33140,17630,11068,62.8,5.1,247,2.4
 33141,31703,21274,67.1,7.4,471,2.4
 33142,43186,23424,54.2,19.6,157,0.8
 33143,25237,16473,65.3,8.8,351,2.3
 33144,22344,13303,59.5,16.0,171,1.5
 33145,26943,16708,62.0,10.1,189,1.3
 33146,13277,7001,52.7,7.6,85,1.3
 33147,33885,20477,60.4,21.8,292,1.8
 33149,8793,5071,57.7,5.4,229,4.8
 33150,20627,12405,60.1,23.5,147,1.5
 33154,10792,6329,58.6,7.8,253,4.3
 33155,39216,25361,64.7,9.4,639,2.8
 33156,25220,15558,61.7,7.0,363,2.5
 33157,53049,33666,63.5,10.9,682,2.3
 33158,5439,3289,60.5,9.0,32,1.1
 33160,33208,18787,56.6,6.7,451,2.6
 33161,42095,25620,60.9,15.9,372,1.7
 33162,35747,24118,67.5,17.8,361,1.8
 33165,48326,28338,58.6,8.1,828,3.2
 33166,19023,12184,64.0,12.8,202,1.9
 33167,16126,9486,58.8,14.3,38,0.5
 33168,22702,14443,63.6,16.3,211,1.7
 33169,29481,20636,70.0,16.0,458,2.6
 33170,8923,5366,60.1,17.7,68,1.5
 33172,32325,21089,65.2,11.2,358,1.9
 33173,29514,19699,66.7,11.6,308,1.8
 33174,25347,13926,54.9,10.5,167,1.3
 33175,44109,27824,63.1,10.4,642,2.6
 33176,41731,27911,66.9,10.7,435,1.7
 33177,44756,28400,63.5,11.5,428,1.7
 33178,31409,20161,64.2,5.1,950,5.0
 33179,33800,22194,65.7,10.0,309,1.5
 33180,26899,15112,56.2,10.1,438,3.2
 33181,13989,9245,66.1,12.0,135,1.7
 33182,13833,8258,59.7,9.4,255,3.4
 33183,31581,21045,66.6,11.4,470,2.5
 33184,17910,11190,62.5,8.5,151,1.5
 33185,22692,15419,67.9,7.8,418,2.9
 33186,56716,39645,69.9,9.6,863,2.4
 33187,13784,8660,62.8,10.4,85,1.1
 33189,18007,11755,65.3,10.6,356,3.4
 33190,8483,6216,73.3,9.7,66,1.2
 33193,37607,24492,65.1,9.9,474,2.1
 33194,6227,2786,44.7,8.0,44,1.7
 33196,35086,24270,69.2,11.2,556,2.6
"Miami CCD, Miami-Dade County, Florida",752761,465071,61.8,13.5,7815,1.9
