,period_begin,period_end,zip,parent_metro_region,median_sale_price,property_type,LAT,LNG
4,2012-01-01,2012-03-31,30518,"Atlanta, GA",130000.0,Single Family Residential,34.130846,-84.027398
5,2012-02-01,2012-04-30,30518,"Atlanta, GA",136000.0,Single Family Residential,34.130846,-84.027398
7,2012-03-01,2012-05-31,30518,"Atlanta, GA",137900.0,Single Family Residential,34.130846,-84.027398
10,2012-04-01,2012-06-30,30518,"Atlanta, GA",139500.0,Single Family Residential,34.130846,-84.027398
12,2012-05-01,2012-07-31,30518,"Atlanta, GA",141000.0,Single Family Residential,34.130846,-84.027398
16,2012-06-01,2012-08-31,30518,"Atlanta, GA",145000.0,Single Family Residential,34.130846,-84.027398
21,2012-07-01,2012-09-30,30518,"Atlanta, GA",155450.0,Single Family Residential,34.130846,-84.027398
25,2012-08-01,2012-10-31,30518,"Atlanta, GA",154900.0,Single Family Residential,34.130846,-84.027398
26,2012-09-01,2012-11-30,30518,"Atlanta, GA",153000.0,Single Family Residential,34.130846,-84.027398
31,2012-10-01,2012-12-31,30518,"Atlanta, GA",155000.0,Single Family Residential,34.130846,-84.027398
37,2013-01-01,2013-03-31,30518,"Atlanta, GA",175250.0,Single Family Residential,34.130846,-84.027398
41,2013-02-01,2013-04-30,30518,"Atlanta, GA",178000.0,Single Family Residential,34.130846,-84.027398
46,2013-04-01,2013-06-30,30518,"Atlanta, GA",193900.0,Single Family Residential,34.130846,-84.027398
49,2013-05-01,2013-07-31,30518,"Atlanta, GA",199980.0,Single Family Residential,34.130846,-84.027398
54,2013-06-01,2013-08-31,30518,"Atlanta, GA",194450.0,Single Family Residential,34.130846,-84.027398
59,2013-07-01,2013-09-30,30518,"Atlanta, GA",193000.0,Single Family Residential,34.130846,-84.027398
65,2013-08-01,2013-10-31,30518,"Atlanta, GA",190000.0,Single Family Residential,34.130846,-84.027398
68,2013-09-01,2013-11-30,30518,"Atlanta, GA",198500.0,Single Family Residential,34.130846,-84.027398
71,2013-10-01,2013-12-31,30518,"Atlanta, GA",208000.0,Single Family Residential,34.130846,-84.027398
75,2013-12-01,2014-02-28,30518,"Atlanta, GA",197000.0,Single Family Residential,34.130846,-84.027398
81,2014-03-01,2014-05-31,30518,"Atlanta, GA",208950.0,Single Family Residential,34.130846,-84.027398
84,2014-04-01,2014-06-30,30518,"Atlanta, GA",224500.0,Single Family Residential,34.130846,-84.027398
87,2014-05-01,2014-07-31,30518,"Atlanta, GA",205000.0,Single Family Residential,34.130846,-84.027398
94,2014-08-01,2014-10-31,30518,"Atlanta, GA",207000.0,Single Family Residential,34.130846,-84.027398
98,2014-09-01,2014-11-30,30518,"Atlanta, GA",207615.0,Single Family Residential,34.130846,-84.027398
103,2014-10-01,2014-12-31,30518,"Atlanta, GA",213500.0,Single Family Residential,34.130846,-84.027398
106,2014-12-01,2015-02-28,30518,"Atlanta, GA",211000.0,Single Family Residential,34.130846,-84.027398
108,2015-01-01,2015-03-31,30518,"Atlanta, GA",223045.0,Single Family Residential,34.130846,-84.027398
118,2015-03-01,2015-05-31,30518,"Atlanta, GA",230000.0,Single Family Residential,34.130846,-84.027398
120,2015-04-01,2015-06-30,30518,"Atlanta, GA",226000.0,Single Family Residential,34.130846,-84.027398
125,2015-07-01,2015-09-30,30518,"Atlanta, GA",211150.0,Single Family Residential,34.130846,-84.027398
132,2015-09-01,2015-11-30,30518,"Atlanta, GA",209000.0,Single Family Residential,34.130846,-84.027398
142,2015-12-01,2016-02-29,30518,"Atlanta, GA",211200.0,Single Family Residential,34.130846,-84.027398
146,2016-01-01,2016-03-31,30518,"Atlanta, GA",222550.0,Single Family Residential,34.130846,-84.027398
147,2016-02-01,2016-04-30,30518,"Atlanta, GA",225000.0,Single Family Residential,34.130846,-84.027398
152,2016-04-01,2016-06-30,30518,"Atlanta, GA",242750.0,Single Family Residential,34.130846,-84.027398
156,2016-05-01,2016-07-31,30518,"Atlanta, GA",254000.0,Single Family Residential,34.130846,-84.027398
157,2016-06-01,2016-08-31,30518,"Atlanta, GA",254000.0,Single Family Residential,34.130846,-84.027398
168,2016-10-01,2016-12-31,30518,"Atlanta, GA",248950.0,Single Family Residential,34.130846,-84.027398
171,2016-12-01,2017-02-28,30518,"Atlanta, GA",263500.0,Single Family Residential,34.130846,-84.027398
173,2017-01-01,2017-03-31,30518,"Atlanta, GA",258950.0,Single Family Residential,34.130846,-84.027398
176,2017-02-01,2017-04-30,30518,"Atlanta, GA",265000.0,Single Family Residential,34.130846,-84.027398
180,2017-03-01,2017-05-31,30518,"Atlanta, GA",276000.0,Single Family Residential,34.130846,-84.027398
183,2017-04-01,2017-06-30,30518,"Atlanta, GA",282000.0,Single Family Residential,34.130846,-84.027398
184,2017-05-01,2017-07-31,30518,"Atlanta, GA",275000.0,Single Family Residential,34.130846,-84.027398
187,2017-06-01,2017-08-31,30518,"Atlanta, GA",269900.0,Single Family Residential,34.130846,-84.027398
203,2017-12-01,2018-02-28,30518,"Atlanta, GA",269000.0,Single Family Residential,34.130846,-84.027398
214,2018-04-01,2018-06-30,30518,"Atlanta, GA",279450.0,Single Family Residential,34.130846,-84.027398
217,2018-05-01,2018-07-31,30518,"Atlanta, GA",286500.0,Single Family Residential,34.130846,-84.027398
223,2018-07-01,2018-09-30,30518,"Atlanta, GA",282450.0,Single Family Residential,34.130846,-84.027398
225,2018-08-01,2018-10-31,30518,"Atlanta, GA",285000.0,Single Family Residential,34.130846,-84.027398
227,2018-09-01,2018-11-30,30518,"Atlanta, GA",287500.0,Single Family Residential,34.130846,-84.027398
230,2018-10-01,2018-12-31,30518,"Atlanta, GA",295000.0,Single Family Residential,34.130846,-84.027398
243,2019-03-01,2019-05-31,30518,"Atlanta, GA",295000.0,Single Family Residential,34.130846,-84.027398
245,2019-04-01,2019-06-30,30518,"Atlanta, GA",290000.0,Single Family Residential,34.130846,-84.027398
249,2019-05-01,2019-07-31,30518,"Atlanta, GA",288745.0,Single Family Residential,34.130846,-84.027398
257,2019-07-01,2019-09-30,30518,"Atlanta, GA",300000.0,Single Family Residential,34.130846,-84.027398
260,2019-08-01,2019-10-31,30518,"Atlanta, GA",300000.0,Single Family Residential,34.130846,-84.027398
266,2019-09-01,2019-11-30,30518,"Atlanta, GA",299000.0,Single Family Residential,34.130846,-84.027398
268,2019-10-01,2019-12-31,30518,"Atlanta, GA",302000.0,Single Family Residential,34.130846,-84.027398
273,2019-11-01,2020-01-31,30518,"Atlanta, GA",293000.0,Single Family Residential,34.130846,-84.027398
276,2019-12-01,2020-02-29,30518,"Atlanta, GA",300000.0,Single Family Residential,34.130846,-84.027398
283,2020-02-01,2020-04-30,30518,"Atlanta, GA",299950.0,Single Family Residential,34.130846,-84.027398
284,2020-03-01,2020-05-31,30518,"Atlanta, GA",299900.0,Single Family Residential,34.130846,-84.027398
287,2020-04-01,2020-06-30,30518,"Atlanta, GA",306750.0,Single Family Residential,34.130846,-84.027398
289,2020-05-01,2020-07-31,30518,"Atlanta, GA",306875.0,Single Family Residential,34.130846,-84.027398
294,2020-07-01,2020-09-30,30518,"Atlanta, GA",309700.0,Single Family Residential,34.130846,-84.027398
300,2020-09-01,2020-11-30,30518,"Atlanta, GA",331040.0,Single Family Residential,34.130846,-84.027398
301,2020-10-01,2020-12-31,30518,"Atlanta, GA",338090.0,Single Family Residential,34.130846,-84.027398
304,2020-11-01,2021-01-31,30518,"Atlanta, GA",338600.0,Single Family Residential,34.130846,-84.027398
307,2021-01-01,2021-03-31,30518,"Atlanta, GA",351580.0,Single Family Residential,34.130846,-84.027398
311,2021-02-01,2021-04-30,30518,"Atlanta, GA",362000.0,Single Family Residential,34.130846,-84.027398
315,2021-03-01,2021-05-31,30518,"Atlanta, GA",380000.0,Single Family Residential,34.130846,-84.027398
319,2021-05-01,2021-07-31,30518,"Atlanta, GA",402000.0,Single Family Residential,34.130846,-84.027398
324,2021-07-01,2021-09-30,30518,"Atlanta, GA",400000.0,Single Family Residential,34.130846,-84.027398
328,2021-08-01,2021-10-31,30518,"Atlanta, GA",399500.0,Single Family Residential,34.130846,-84.027398
334,2012-01-01,2012-03-31,30088,"Atlanta, GA",31500.0,Single Family Residential,33.756052,-84.182363
339,2012-03-01,2012-05-31,30088,"Atlanta, GA",33500.0,Single Family Residential,33.756052,-84.182363
341,2012-04-01,2012-06-30,30088,"Atlanta, GA",35000.0,Single Family Residential,33.756052,-84.182363
343,2012-05-01,2012-07-31,30088,"Atlanta, GA",35000.0,Single Family Residential,33.756052,-84.182363
350,2012-07-01,2012-09-30,30088,"Atlanta, GA",34000.0,Single Family Residential,33.756052,-84.182363
355,2012-09-01,2012-11-30,30088,"Atlanta, GA",43700.0,Single Family Residential,33.756052,-84.182363
359,2012-10-01,2012-12-31,30088,"Atlanta, GA",46800.0,Single Family Residential,33.756052,-84.182363
360,2012-11-01,2013-01-31,30088,"Atlanta, GA",46650.0,Single Family Residential,33.756052,-84.182363
366,2012-12-01,2013-02-28,30088,"Atlanta, GA",50000.0,Single Family Residential,33.756052,-84.182363
369,2013-01-01,2013-03-31,30088,"Atlanta, GA",51350.0,Single Family Residential,33.756052,-84.182363
371,2013-02-01,2013-04-30,30088,"Atlanta, GA",55500.0,Single Family Residential,33.756052,-84.182363
381,2013-06-01,2013-08-31,30088,"Atlanta, GA",70000.0,Single Family Residential,33.756052,-84.182363
382,2013-07-01,2013-09-30,30088,"Atlanta, GA",66000.0,Single Family Residential,33.756052,-84.182363
385,2013-08-01,2013-10-31,30088,"Atlanta, GA",63000.0,Single Family Residential,33.756052,-84.182363
389,2013-10-01,2013-12-31,30088,"Atlanta, GA",60000.0,Single Family Residential,33.756052,-84.182363
396,2013-12-01,2014-02-28,30088,"Atlanta, GA",63750.5,Single Family Residential,33.756052,-84.182363
400,2014-01-01,2014-03-31,30088,"Atlanta, GA",69900.0,Single Family Residential,33.756052,-84.182363
405,2014-03-01,2014-05-31,30088,"Atlanta, GA",72950.0,Single Family Residential,33.756052,-84.182363
408,2014-04-01,2014-06-30,30088,"Atlanta, GA",72950.0,Single Family Residential,33.756052,-84.182363
412,2014-06-01,2014-08-31,30088,"Atlanta, GA",80000.0,Single Family Residential,33.756052,-84.182363
414,2014-07-01,2014-09-30,30088,"Atlanta, GA",82950.0,Single Family Residential,33.756052,-84.182363
417,2014-08-01,2014-10-31,30088,"Atlanta, GA",76000.0,Single Family Residential,33.756052,-84.182363
418,2014-09-01,2014-11-30,30088,"Atlanta, GA",75000.0,Single Family Residential,33.756052,-84.182363
429,2015-01-01,2015-03-31,30088,"Atlanta, GA",80000.0,Single Family Residential,33.756052,-84.182363
431,2015-02-01,2015-04-30,30088,"Atlanta, GA",80000.0,Single Family Residential,33.756052,-84.182363
434,2015-03-01,2015-05-31,30088,"Atlanta, GA",78000.0,Single Family Residential,33.756052,-84.182363
436,2015-04-01,2015-06-30,30088,"Atlanta, GA",77000.0,Single Family Residential,33.756052,-84.182363
441,2015-05-01,2015-07-31,30088,"Atlanta, GA",80000.0,Single Family Residential,33.756052,-84.182363
443,2015-06-01,2015-08-31,30088,"Atlanta, GA",81500.0,Single Family Residential,33.756052,-84.182363
449,2015-08-01,2015-10-31,30088,"Atlanta, GA",84800.0,Single Family Residential,33.756052,-84.182363
457,2015-10-01,2015-12-31,30088,"Atlanta, GA",85000.0,Single Family Residential,33.756052,-84.182363
461,2015-11-01,2016-01-31,30088,"Atlanta, GA",85250.0,Single Family Residential,33.756052,-84.182363
464,2015-12-01,2016-02-29,30088,"Atlanta, GA",88500.0,Single Family Residential,33.756052,-84.182363
465,2016-01-01,2016-03-31,30088,"Atlanta, GA",83250.0,Single Family Residential,33.756052,-84.182363
467,2016-02-01,2016-04-30,30088,"Atlanta, GA",84000.0,Single Family Residential,33.756052,-84.182363
469,2016-03-01,2016-05-31,30088,"Atlanta, GA",84450.0,Single Family Residential,33.756052,-84.182363
474,2016-04-01,2016-06-30,30088,"Atlanta, GA",89500.0,Single Family Residential,33.756052,-84.182363
476,2016-05-01,2016-07-31,30088,"Atlanta, GA",90000.0,Single Family Residential,33.756052,-84.182363
478,2016-06-01,2016-08-31,30088,"Atlanta, GA",94000.0,Single Family Residential,33.756052,-84.182363
481,2016-08-01,2016-10-31,30088,"Atlanta, GA",92750.0,Single Family Residential,33.756052,-84.182363
484,2016-09-01,2016-11-30,30088,"Atlanta, GA",94950.0,Single Family Residential,33.756052,-84.182363
489,2016-11-01,2017-01-31,30088,"Atlanta, GA",95000.0,Single Family Residential,33.756052,-84.182363
493,2016-12-01,2017-02-28,30088,"Atlanta, GA",89500.0,Single Family Residential,33.756052,-84.182363
495,2017-01-01,2017-03-31,30088,"Atlanta, GA",90500.0,Single Family Residential,33.756052,-84.182363
499,2017-02-01,2017-04-30,30088,"Atlanta, GA",100000.0,Single Family Residential,33.756052,-84.182363
505,2017-05-01,2017-07-31,30088,"Atlanta, GA",107900.0,Single Family Residential,33.756052,-84.182363
508,2017-06-01,2017-08-31,30088,"Atlanta, GA",114000.0,Single Family Residential,33.756052,-84.182363
509,2017-07-01,2017-09-30,30088,"Atlanta, GA",109900.0,Single Family Residential,33.756052,-84.182363
516,2017-10-01,2017-12-31,30088,"Atlanta, GA",109500.0,Single Family Residential,33.756052,-84.182363
521,2017-11-01,2018-01-31,30088,"Atlanta, GA",114000.0,Single Family Residential,33.756052,-84.182363
524,2017-12-01,2018-02-28,30088,"Atlanta, GA",119250.0,Single Family Residential,33.756052,-84.182363
531,2018-03-01,2018-05-31,30088,"Atlanta, GA",122500.0,Single Family Residential,33.756052,-84.182363
535,2018-04-01,2018-06-30,30088,"Atlanta, GA",122750.0,Single Family Residential,33.756052,-84.182363
540,2018-06-01,2018-08-31,30088,"Atlanta, GA",124000.0,Single Family Residential,33.756052,-84.182363
542,2018-07-01,2018-09-30,30088,"Atlanta, GA",127500.0,Single Family Residential,33.756052,-84.182363
543,2018-08-01,2018-10-31,30088,"Atlanta, GA",135000.0,Single Family Residential,33.756052,-84.182363
548,2018-09-01,2018-11-30,30088,"Atlanta, GA",129000.0,Single Family Residential,33.756052,-84.182363
559,2019-01-01,2019-03-31,30088,"Atlanta, GA",140000.0,Single Family Residential,33.756052,-84.182363
561,2019-02-01,2019-04-30,30088,"Atlanta, GA",149500.0,Single Family Residential,33.756052,-84.182363
568,2019-05-01,2019-07-31,30088,"Atlanta, GA",145000.0,Single Family Residential,33.756052,-84.182363
571,2019-06-01,2019-08-31,30088,"Atlanta, GA",150000.0,Single Family Residential,33.756052,-84.182363
573,2019-07-01,2019-09-30,30088,"Atlanta, GA",154450.0,Single Family Residential,33.756052,-84.182363
577,2019-08-01,2019-10-31,30088,"Atlanta, GA",159000.0,Single Family Residential,33.756052,-84.182363
579,2019-10-01,2019-12-31,30088,"Atlanta, GA",155000.0,Single Family Residential,33.756052,-84.182363
582,2019-11-01,2020-01-31,30088,"Atlanta, GA",155000.0,Single Family Residential,33.756052,-84.182363
584,2019-12-01,2020-02-29,30088,"Atlanta, GA",155000.0,Single Family Residential,33.756052,-84.182363
593,2020-03-01,2020-05-31,30088,"Atlanta, GA",160500.0,Single Family Residential,33.756052,-84.182363
599,2020-06-01,2020-08-31,30088,"Atlanta, GA",170000.0,Single Family Residential,33.756052,-84.182363
602,2020-08-01,2020-10-31,30088,"Atlanta, GA",169900.0,Single Family Residential,33.756052,-84.182363
604,2020-09-01,2020-11-30,30088,"Atlanta, GA",173000.0,Single Family Residential,33.756052,-84.182363
614,2021-01-01,2021-03-31,30088,"Atlanta, GA",190000.0,Single Family Residential,33.756052,-84.182363
616,2021-02-01,2021-04-30,30088,"Atlanta, GA",187000.0,Single Family Residential,33.756052,-84.182363
620,2021-03-01,2021-05-31,30088,"Atlanta, GA",188000.0,Single Family Residential,33.756052,-84.182363
625,2021-06-01,2021-08-31,30088,"Atlanta, GA",220000.0,Single Family Residential,33.756052,-84.182363
630,2021-08-01,2021-10-31,30088,"Atlanta, GA",232000.0,Single Family Residential,33.756052,-84.182363
633,2021-09-01,2021-11-30,30088,"Atlanta, GA",234450.0,Single Family Residential,33.756052,-84.182363
634,2012-01-01,2012-03-31,30216,"Atlanta, GA",68250.0,Single Family Residential,33.228851,-83.884863
636,2012-02-01,2012-04-30,30216,"Atlanta, GA",68500.0,Single Family Residential,33.228851,-83.884863
639,2012-04-01,2012-06-30,30216,"Atlanta, GA",36000.0,Single Family Residential,33.228851,-83.884863
642,2012-07-01,2012-09-30,30216,"Atlanta, GA",83575.0,Single Family Residential,33.228851,-83.884863
645,2012-09-01,2012-11-30,30216,"Atlanta, GA",77750.0,Single Family Residential,33.228851,-83.884863
647,2012-10-01,2012-12-31,30216,"Atlanta, GA",70000.0,Single Family Residential,33.228851,-83.884863
649,2012-11-01,2013-01-31,30216,"Atlanta, GA",66000.0,Single Family Residential,33.228851,-83.884863
652,2012-12-01,2013-02-28,30216,"Atlanta, GA",68000.0,Single Family Residential,33.228851,-83.884863
653,2013-01-01,2013-03-31,30216,"Atlanta, GA",28505.0,Single Family Residential,33.228851,-83.884863
655,2013-02-01,2013-04-30,30216,"Atlanta, GA",72000.0,Single Family Residential,33.228851,-83.884863
658,2013-04-01,2013-06-30,30216,"Atlanta, GA",84000.0,Single Family Residential,33.228851,-83.884863
663,2013-09-01,2013-11-30,30216,"Atlanta, GA",76000.0,Single Family Residential,33.228851,-83.884863
664,2013-10-01,2013-12-31,30216,"Atlanta, GA",77200.0,Single Family Residential,33.228851,-83.884863
666,2013-11-01,2014-01-31,30216,"Atlanta, GA",79100.0,Single Family Residential,33.228851,-83.884863
669,2013-12-01,2014-02-28,30216,"Atlanta, GA",77200.0,Single Family Residential,33.228851,-83.884863
671,2014-02-01,2014-04-30,30216,"Atlanta, GA",97500.0,Single Family Residential,33.228851,-83.884863
673,2014-04-01,2014-06-30,30216,"Atlanta, GA",93500.0,Single Family Residential,33.228851,-83.884863
677,2014-09-01,2014-11-30,30216,"Atlanta, GA",81000.0,Single Family Residential,33.228851,-83.884863
680,2014-11-01,2015-01-31,30216,"Atlanta, GA",73000.0,Single Family Residential,33.228851,-83.884863
684,2015-04-01,2015-06-30,30216,"Atlanta, GA",61900.0,Single Family Residential,33.228851,-83.884863
685,2015-05-01,2015-07-31,30216,"Atlanta, GA",61900.0,Single Family Residential,33.228851,-83.884863
688,2015-08-01,2015-10-31,30216,"Atlanta, GA",90000.0,Single Family Residential,33.228851,-83.884863
690,2015-09-01,2015-11-30,30216,"Atlanta, GA",82247.0,Single Family Residential,33.228851,-83.884863
692,2015-10-01,2015-12-31,30216,"Atlanta, GA",69247.0,Single Family Residential,33.228851,-83.884863
693,2015-11-01,2016-01-31,30216,"Atlanta, GA",74494.0,Single Family Residential,33.228851,-83.884863
694,2015-12-01,2016-02-29,30216,"Atlanta, GA",152000.0,Single Family Residential,33.228851,-83.884863
696,2016-02-01,2016-04-30,30216,"Atlanta, GA",152000.0,Single Family Residential,33.228851,-83.884863
697,2016-04-01,2016-06-30,30216,"Atlanta, GA",88000.0,Single Family Residential,33.228851,-83.884863
698,2016-05-01,2016-07-31,30216,"Atlanta, GA",88000.0,Single Family Residential,33.228851,-83.884863
700,2016-08-01,2016-10-31,30216,"Atlanta, GA",81900.0,Single Family Residential,33.228851,-83.884863
702,2016-10-01,2016-12-31,30216,"Atlanta, GA",73750.0,Single Family Residential,33.228851,-83.884863
704,2016-11-01,2017-01-31,30216,"Atlanta, GA",73750.0,Single Family Residential,33.228851,-83.884863
705,2016-12-01,2017-02-28,30216,"Atlanta, GA",70000.0,Single Family Residential,33.228851,-83.884863
708,2017-02-01,2017-04-30,30216,"Atlanta, GA",76350.0,Single Family Residential,33.228851,-83.884863
709,2017-03-01,2017-05-31,30216,"Atlanta, GA",72500.0,Single Family Residential,33.228851,-83.884863
711,2017-04-01,2017-06-30,30216,"Atlanta, GA",72500.0,Single Family Residential,33.228851,-83.884863
714,2017-07-01,2017-09-30,30216,"Atlanta, GA",29120.0,Single Family Residential,33.228851,-83.884863
715,2017-08-01,2017-10-31,30216,"Atlanta, GA",29120.0,Single Family Residential,33.228851,-83.884863
717,2017-09-01,2017-11-30,30216,"Atlanta, GA",70110.0,Single Family Residential,33.228851,-83.884863
719,2017-10-01,2017-12-31,30216,"Atlanta, GA",111100.0,Single Family Residential,33.228851,-83.884863
720,2017-11-01,2018-01-31,30216,"Atlanta, GA",85000.0,Single Family Residential,33.228851,-83.884863
722,2017-12-01,2018-02-28,30216,"Atlanta, GA",60087.5,Single Family Residential,33.228851,-83.884863
724,2018-01-01,2018-03-31,30216,"Atlanta, GA",85000.0,Single Family Residential,33.228851,-83.884863
726,2018-02-01,2018-04-30,30216,"Atlanta, GA",138000.0,Single Family Residential,33.228851,-83.884863
728,2018-07-01,2018-09-30,30216,"Atlanta, GA",132500.0,Single Family Residential,33.228851,-83.884863
731,2018-10-01,2018-12-31,30216,"Atlanta, GA",132500.0,Single Family Residential,33.228851,-83.884863
734,2018-11-01,2019-01-31,30216,"Atlanta, GA",90000.0,Single Family Residential,33.228851,-83.884863
737,2019-02-01,2019-04-30,30216,"Atlanta, GA",143000.0,Single Family Residential,33.228851,-83.884863
739,2019-05-01,2019-07-31,30216,"Atlanta, GA",245500.0,Single Family Residential,33.228851,-83.884863
740,2019-06-01,2019-08-31,30216,"Atlanta, GA",154500.0,Single Family Residential,33.228851,-83.884863
743,2019-08-01,2019-10-31,30216,"Atlanta, GA",115000.0,Single Family Residential,33.228851,-83.884863
746,2019-10-01,2019-12-31,30216,"Atlanta, GA",64500.0,Single Family Residential,33.228851,-83.884863
748,2019-12-01,2020-02-29,30216,"Atlanta, GA",116250.0,Single Family Residential,33.228851,-83.884863
750,2020-02-01,2020-04-30,30216,"Atlanta, GA",162500.0,Single Family Residential,33.228851,-83.884863
752,2020-03-01,2020-05-31,30216,"Atlanta, GA",162500.0,Single Family Residential,33.228851,-83.884863
754,2020-04-01,2020-06-30,30216,"Atlanta, GA",159900.0,Single Family Residential,33.228851,-83.884863
756,2020-06-01,2020-08-31,30216,"Atlanta, GA",150000.0,Single Family Residential,33.228851,-83.884863
759,2020-07-01,2020-09-30,30216,"Atlanta, GA",132000.0,Single Family Residential,33.228851,-83.884863
761,2020-08-01,2020-10-31,30216,"Atlanta, GA",132000.0,Single Family Residential,33.228851,-83.884863
762,2020-09-01,2020-11-30,30216,"Atlanta, GA",153000.0,Single Family Residential,33.228851,-83.884863
766,2021-01-01,2021-03-31,30216,"Atlanta, GA",179950.0,Single Family Residential,33.228851,-83.884863
770,2021-04-01,2021-06-30,30216,"Atlanta, GA",135000.0,Single Family Residential,33.228851,-83.884863
771,2021-05-01,2021-07-31,30216,"Atlanta, GA",151000.0,Single Family Residential,33.228851,-83.884863
773,2021-06-01,2021-08-31,30216,"Atlanta, GA",166000.0,Single Family Residential,33.228851,-83.884863
775,2021-07-01,2021-09-30,30216,"Atlanta, GA",200000.0,Single Family Residential,33.228851,-83.884863
785,2012-02-01,2012-04-30,30341,"Atlanta, GA",251000.0,Single Family Residential,33.888505,-84.289532
788,2012-04-01,2012-06-30,30341,"Atlanta, GA",237500.0,Single Family Residential,33.888505,-84.289532
789,2012-05-01,2012-07-31,30341,"Atlanta, GA",227000.0,Single Family Residential,33.888505,-84.289532
796,2012-07-01,2012-09-30,30341,"Atlanta, GA",220000.0,Single Family Residential,33.888505,-84.289532
803,2012-09-01,2012-11-30,30341,"Atlanta, GA",222000.0,Single Family Residential,33.888505,-84.289532
808,2012-10-01,2012-12-31,30341,"Atlanta, GA",242000.0,Single Family Residential,33.888505,-84.289532
810,2012-11-01,2013-01-31,30341,"Atlanta, GA",231500.0,Single Family Residential,33.888505,-84.289532
819,2013-01-01,2013-03-31,30341,"Atlanta, GA",233750.0,Single Family Residential,33.888505,-84.289532
820,2013-02-01,2013-04-30,30341,"Atlanta, GA",275000.0,Single Family Residential,33.888505,-84.289532
826,2013-03-01,2013-05-31,30341,"Atlanta, GA",267000.0,Single Family Residential,33.888505,-84.289532
830,2013-04-01,2013-06-30,30341,"Atlanta, GA",269100.0,Single Family Residential,33.888505,-84.289532
838,2013-07-01,2013-09-30,30341,"Atlanta, GA",275000.0,Single Family Residential,33.888505,-84.289532
841,2013-08-01,2013-10-31,30341,"Atlanta, GA",275000.0,Single Family Residential,33.888505,-84.289532
845,2013-09-01,2013-11-30,30341,"Atlanta, GA",272500.0,Single Family Residential,33.888505,-84.289532
847,2013-10-01,2013-12-31,30341,"Atlanta, GA",275000.0,Single Family Residential,33.888505,-84.289532
857,2014-01-01,2014-03-31,30341,"Atlanta, GA",276500.0,Single Family Residential,33.888505,-84.289532
864,2014-04-01,2014-06-30,30341,"Atlanta, GA",290000.0,Single Family Residential,33.888505,-84.289532
867,2014-05-01,2014-07-31,30341,"Atlanta, GA",287600.0,Single Family Residential,33.888505,-84.289532
873,2014-07-01,2014-09-30,30341,"Atlanta, GA",272000.0,Single Family Residential,33.888505,-84.289532
876,2014-08-01,2014-10-31,30341,"Atlanta, GA",270000.0,Single Family Residential,33.888505,-84.289532
881,2014-09-01,2014-11-30,30341,"Atlanta, GA",257500.0,Single Family Residential,33.888505,-84.289532
885,2014-10-01,2014-12-31,30341,"Atlanta, GA",259900.0,Single Family Residential,33.888505,-84.289532
890,2014-12-01,2015-02-28,30341,"Atlanta, GA",272000.0,Single Family Residential,33.888505,-84.289532
894,2015-01-01,2015-03-31,30341,"Atlanta, GA",315000.0,Single Family Residential,33.888505,-84.289532
897,2015-02-01,2015-04-30,30341,"Atlanta, GA",295000.0,Single Family Residential,33.888505,-84.289532
900,2015-04-01,2015-06-30,30341,"Atlanta, GA",297500.0,Single Family Residential,33.888505,-84.289532
905,2015-05-01,2015-07-31,30341,"Atlanta, GA",347000.0,Single Family Residential,33.888505,-84.289532
910,2015-06-01,2015-08-31,30341,"Atlanta, GA",330400.0,Single Family Residential,33.888505,-84.289532
911,2015-07-01,2015-09-30,30341,"Atlanta, GA",330000.0,Single Family Residential,33.888505,-84.289532
916,2015-08-01,2015-10-31,30341,"Atlanta, GA",301500.0,Single Family Residential,33.888505,-84.289532
920,2015-09-01,2015-11-30,30341,"Atlanta, GA",299000.0,Single Family Residential,33.888505,-84.289532
927,2015-12-01,2016-02-29,30341,"Atlanta, GA",340000.0,Single Family Residential,33.888505,-84.289532
929,2016-01-01,2016-03-31,30341,"Atlanta, GA",343750.0,Single Family Residential,33.888505,-84.289532
933,2016-03-01,2016-05-31,30341,"Atlanta, GA",336000.0,Single Family Residential,33.888505,-84.289532
940,2016-05-01,2016-07-31,30341,"Atlanta, GA",330000.0,Single Family Residential,33.888505,-84.289532
942,2016-06-01,2016-08-31,30341,"Atlanta, GA",335000.0,Single Family Residential,33.888505,-84.289532
947,2016-07-01,2016-09-30,30341,"Atlanta, GA",342000.0,Single Family Residential,33.888505,-84.289532
952,2016-08-01,2016-10-31,30341,"Atlanta, GA",350000.0,Single Family Residential,33.888505,-84.289532
957,2016-09-01,2016-11-30,30341,"Atlanta, GA",360000.0,Single Family Residential,33.888505,-84.289532
959,2016-11-01,2017-01-31,30341,"Atlanta, GA",349800.0,Single Family Residential,33.888505,-84.289532
969,2017-02-01,2017-04-30,30341,"Atlanta, GA",369100.0,Single Family Residential,33.888505,-84.289532
977,2017-04-01,2017-06-30,30341,"Atlanta, GA",373500.0,Single Family Residential,33.888505,-84.289532
980,2017-05-01,2017-07-31,30341,"Atlanta, GA",365000.0,Single Family Residential,33.888505,-84.289532
983,2017-06-01,2017-08-31,30341,"Atlanta, GA",362500.0,Single Family Residential,33.888505,-84.289532
987,2017-07-01,2017-09-30,30341,"Atlanta, GA",355000.0,Single Family Residential,33.888505,-84.289532
994,2017-10-01,2017-12-31,30341,"Atlanta, GA",381500.0,Single Family Residential,33.888505,-84.289532
