zip,latitude,longitude,median_sale_price,percent_change_home_price,parent_metro_region,total_stores,occupation,total_employment,jobs_per_1000,annual_mean_salary,annual_median_salary,city_year,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
30004,34.145614,-84.291894,300436.79069767444,-0.5186322024500728,"Atlanta, GA",7.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,49629.0,35457.0,71.4,3.0,1906.0,5.5
30005,34.089039,-84.217099,640000.0,0.032258064516129,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,29699.0,21511.0,72.4,3.5,1096.0,5.3
30009,34.079096,-84.305262,451716.6666666666,-0.2258210256305208,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,13595.0,9332.0,68.6,5.2,431.0,4.9
30022,34.029865,-84.239745,554450.0,0.0182736455463727,"Atlanta, GA",7.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,53189.0,37898.0,71.3,4.4,1815.0,5.0
30024,34.062971,-84.09077,234340.0,-0.2971724666582886,"Atlanta, GA",6.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,59001.0,40650.0,68.9,3.6,1224.0,3.1
30032,33.740666,-84.264463,293021.978021978,0.2379333563153046,"Atlanta, GA",0.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,39622.0,24123.0,60.9,11.4,624.0,2.9
30076,34.028483,-84.311423,259000.0,-0.4296226673846947,"Atlanta, GA",2.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,35964.0,26474.0,73.6,3.1,769.0,3.0
30092,33.972386,-84.231986,515000.0,0.0684647302904564,"Atlanta, GA",3.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,28369.0,20355.0,71.8,3.3,879.0,4.5
30097,34.026142,-84.145592,575001.0,-0.0650390243902439,"Atlanta, GA",4.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,37148.0,25190.0,67.8,4.5,944.0,3.9
30213,33.589298,-84.636766,129200.0,-0.5614773507206589,"Atlanta, GA",1.0,Computer and Mathematical Occupations,124980.0,47.471,94280.0,92700.0,atlanta_2019,25159.0,18059.0,71.8,4.5,591.0,3.4
