,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
1020,atlanta_2016,30337,10407,6900,66.3,15.2,88,1.5
1021,atlanta_2016,30338,26365,17534,66.5,5.6,749,4.5
1022,atlanta_2016,30339,19352,14771,76.3,2.2,521,3.6
1023,atlanta_2016,30342,23203,17518,75.5,3.6,699,4.1
1024,atlanta_2016,30344,26619,17771,66.8,16.0,372,2.5
1025,atlanta_2016,30349,51546,36430,70.7,13.4,1003,3.2
1026,atlanta_2016,30350,30249,23253,76.9,6.6,1047,4.8
1027,atlanta_2016,30354,12784,7491,58.6,13.5,141,2.2
1028,atlanta_2016,30363,2927,2301,78.6,5.2,135,6.2
1029,atlanta_2017,30032,40624,24438,60.2,14.9,641,3.1
1030,atlanta_2017,30303,6668,2864,43.0,21.8,71,3.2
1031,atlanta_2017,30305,20230,14665,72.5,2.0,521,3.6
1032,atlanta_2017,30306,19568,15283,78.1,3.4,814,5.5
1033,atlanta_2017,30307,16548,12553,75.9,5.1,623,5.2
1034,atlanta_2017,30308,16119,12779,79.3,5.0,604,5.0
1035,atlanta_2017,30309,21248,17002,80.0,3.0,634,3.8
1036,atlanta_2017,30310,23798,14328,60.2,13.3,412,3.3
1037,atlanta_2017,30311,28449,16632,58.5,17.0,430,3.1
1038,atlanta_2017,30312,18483,13237,71.6,5.3,915,7.3
1039,atlanta_2017,30313,10741,5443,50.7,16.6,87,1.9
1040,atlanta_2017,30314,20864,11336,54.3,17.8,283,3.0
1041,atlanta_2017,30315,26499,14295,53.9,15.1,354,2.9
1042,atlanta_2017,30316,28013,19610,70.0,6.7,801,4.4
1043,atlanta_2017,30317,10811,7869,72.8,7.3,216,3.0
1044,atlanta_2017,30318,42254,26033,61.6,8.0,996,4.2
1045,atlanta_2017,30319,33774,24866,73.6,2.4,999,4.1
1046,atlanta_2017,30324,23625,18171,76.9,3.3,900,5.1
1047,atlanta_2017,30326,5223,4079,78.1,5.5,211,5.5
1048,atlanta_2017,30327,18401,10739,58.4,3.0,452,4.3
1049,atlanta_2017,30331,50185,31019,61.8,15.4,924,3.5
1050,atlanta_2017,30332,3165,788,24.9,4.7,0,0.0
1051,atlanta_2017,30334,0,0,-,-,0,-
1052,atlanta_2017,30336,329,128,38.9,0.0,0,0.0
1053,atlanta_2017,30342,22653,17369,76.7,3.1,700,4.2
1054,atlanta_2017,30344,26376,17624,66.8,11.1,505,3.2
1055,atlanta_2017,30354,12990,7708,59.3,12.1,147,2.2
1056,atlanta_2017,30363,3077,2157,70.1,6.0,173,8.5
1057,atlanta_2017,30004,47645,34128,71.6,3.5,2028,6.2
1058,atlanta_2017,30005,29847,21045,70.5,5.6,882,4.4
1059,atlanta_2017,30009,12420,8357,67.3,6.2,337,4.3
1060,atlanta_2017,30022,52635,37116,70.5,5.2,1924,5.5
1061,atlanta_2017,30024,54654,37697,69.0,3.5,1475,4.1
1062,atlanta_2017,30075,41890,28759,68.7,3.9,1087,3.9
1063,atlanta_2017,30076,35086,25336,72.2,3.6,820,3.4
1064,atlanta_2017,30092,28110,20656,73.5,5.4,914,4.7
1065,atlanta_2017,30097,35798,24154,67.5,6.1,889,3.9
1066,atlanta_2017,30213,23720,16266,68.6,6.9,605,4.0
1067,atlanta_2017,30268,8186,4864,59.4,10.9,83,1.9
1068,atlanta_2017,30291,15758,9928,63.0,13.7,276,3.2
1069,atlanta_2017,30296,21705,14338,66.1,9.9,189,1.5
1070,atlanta_2017,30303,6668,2864,43.0,21.8,71,3.2
