,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor
928,atlanta_2012,30363,2414,1875,77.7,8.2,102,5.9
929,atlanta_2013,30004,40015,28405,71.0,5.2,1745,6.5
930,atlanta_2013,30005,26395,18907,71.6,6.6,958,5.4
931,atlanta_2013,30009,11238,7241,64.4,4.7,327,4.7
932,atlanta_2013,30022,48938,35173,71.9,7.6,1637,5.0
933,atlanta_2013,30024,47796,33671,70.4,7.4,1501,4.8
934,atlanta_2013,30075,43255,29791,68.9,6.8,1208,4.4
935,atlanta_2013,30076,32295,23048,71.4,7.0,1043,4.9
936,atlanta_2013,30092,24744,18499,74.8,9.6,767,4.6
937,atlanta_2013,30097,31034,20986,67.6,6.6,775,4.0
938,atlanta_2013,30213,21107,14809,70.2,13.4,453,3.5
939,atlanta_2013,30268,7314,5021,68.6,13.7,63,1.5
940,atlanta_2013,30291,15417,10032,65.1,15.1,285,3.3
941,atlanta_2013,30296,20267,14261,70.4,17.9,140,1.2
942,atlanta_2013,30303,4949,2084,42.1,22.7,21,1.3
943,atlanta_2013,30305,17953,12123,67.5,5.4,380,3.3
944,atlanta_2013,30306,17661,13797,78.1,4.9,731,5.6
945,atlanta_2013,30307,14614,11199,76.6,5.1,567,5.3
946,atlanta_2013,30308,15285,11427,74.8,12.5,571,5.7
947,atlanta_2013,30309,19112,15283,80.0,4.5,738,5.1
948,atlanta_2013,30310,22013,12863,58.4,21.3,422,4.2
949,atlanta_2013,30311,27654,15790,57.1,21.9,280,2.3
950,atlanta_2013,30312,16413,12422,75.7,10.9,497,4.5
951,atlanta_2013,30313,8925,4477,50.2,13.5,117,3.0
952,atlanta_2013,30314,18668,9609,51.5,20.4,262,3.4
953,atlanta_2013,30315,25971,13201,50.8,21.0,301,2.9
954,atlanta_2013,30316,25786,16299,63.2,13.3,742,5.3
955,atlanta_2013,30317,9813,6777,69.1,10.5,196,3.2
956,atlanta_2013,30318,44080,28363,64.3,17.2,990,4.2
957,atlanta_2013,30319,31622,22711,71.8,5.2,1141,5.3
958,atlanta_2013,30324,23076,18721,81.1,8.2,708,4.1
959,atlanta_2013,30326,4497,3302,73.4,2.3,73,2.3
960,atlanta_2013,30327,17815,10455,58.7,5.8,344,3.5
961,atlanta_2013,30328,26408,18564,70.3,6.7,870,5.0
962,atlanta_2013,30331,45451,29344,64.6,16.9,774,3.2
963,atlanta_2013,30332,3200,988,30.9,22.0,16,2.1
964,atlanta_2013,30334,0,0,-,-,0,-
965,atlanta_2013,30336,582,304,52.2,17.4,0,0.0
966,atlanta_2013,30337,8832,6081,68.9,16.9,63,1.2
967,atlanta_2013,30338,25573,17015,66.5,6.8,739,4.7
968,atlanta_2013,30339,17030,13691,80.4,3.2,698,5.3
969,atlanta_2013,30342,24809,18755,75.6,7.4,502,2.9
970,atlanta_2013,30344,25595,16735,65.4,19.4,322,2.4
971,atlanta_2013,30349,50645,36910,72.9,16.1,966,3.1
972,atlanta_2013,30350,26852,20376,75.9,9.4,709,3.9
973,atlanta_2013,30354,12394,7366,59.4,22.1,145,2.5
974,atlanta_2013,30363,2757,2125,77.1,9.8,103,5.4
975,atlanta_2014,30004,43104,30723,71.3,4.0,1966,6.7
976,atlanta_2014,30005,27110,19139,70.6,6.5,882,4.9
977,atlanta_2014,30009,11051,6708,60.7,5.9,314,5.0
978,atlanta_2014,30022,50127,35305,70.4,7.6,1809,5.6
979,atlanta_2014,30024,49804,34819,69.9,6.0,1573,4.8
980,atlanta_2014,30075,42900,29600,69.0,5.2,1224,4.4
981,atlanta_2014,30076,33482,23887,71.3,7.2,1195,5.4
982,atlanta_2014,30092,25813,19158,74.2,8.6,723,4.1
983,atlanta_2014,30097,32753,21859,66.7,6.5,783,3.8
984,atlanta_2014,30213,22246,15294,68.7,11.9,426,3.2
985,atlanta_2014,30268,7187,4640,64.6,12.7,39,1.0
986,atlanta_2014,30291,15377,9580,62.3,15.8,308,3.8
987,atlanta_2014,30296,20743,14360,69.2,16.7,137,1.1
988,atlanta_2014,30303,5534,2182,39.4,18.7,35,2.0
989,atlanta_2014,30305,18248,12507,68.5,4.4,434,3.6
990,atlanta_2014,30306,18526,14469,78.1,4.5,815,5.9
991,atlanta_2014,30307,14739,11402,77.4,4.5,567,5.2
992,atlanta_2014,30308,16015,12014,75.0,10.1,526,4.9
993,atlanta_2014,30309,19458,15745,80.9,4.2,564,3.7
994,atlanta_2014,30310,22784,13057,57.3,19.5,423,4.0
995,atlanta_2014,30311,28067,15941,56.8,22.7,335,2.7
996,atlanta_2014,30312,16979,12174,71.7,10.5,515,4.7
997,atlanta_2014,30313,9023,4778,53.0,15.1,161,4.0
998,atlanta_2014,30314,18655,9486,50.8,22.7,311,4.2
999,atlanta_2014,30315,26494,13648,51.5,22.2,327,3.1
1000,atlanta_2014,30316,26501,17097,64.5,12.7,638,4.3
1001,atlanta_2014,30317,10078,7145,70.9,9.8,190,3.0
1002,atlanta_2014,30318,43026,27692,64.4,14.6,1016,4.3
1003,atlanta_2014,30319,32350,23354,72.2,4.0,1003,4.5
1004,atlanta_2014,30324,23313,18530,79.5,8.8,676,4.0
1005,atlanta_2014,30326,5113,3709,72.5,3.3,186,5.2
1006,atlanta_2014,30327,18119,10579,58.4,4.6,303,3.0
1007,atlanta_2014,30328,26962,19274,71.5,7.3,990,5.6
1008,atlanta_2014,30331,46761,29531,63.2,18.5,782,3.3
1009,atlanta_2014,30332,3100,904,29.2,20.5,13,1.8
1010,atlanta_2014,30334,0,0,-,-,0,-
1011,atlanta_2014,30336,468,225,48.1,18.2,0,0.0
1012,atlanta_2014,30337,9139,6332,69.3,17.3,85,1.6
1013,atlanta_2014,30338,25653,16962,66.1,6.0,728,4.6
1014,atlanta_2014,30339,18111,14162,78.2,4.0,748,5.5
1015,atlanta_2014,30342,23763,17956,75.6,6.2,596,3.5
1016,atlanta_2014,30344,26009,16867,64.9,19.9,265,2.0
1017,atlanta_2014,30349,50907,36286,71.3,15.8,1077,3.5
1018,atlanta_2014,30350,28504,21831,76.6,8.1,827,4.1
1019,atlanta_2014,30354,12477,7491,60.0,22.8,139,2.4
1020,atlanta_2014,30363,3116,2452,78.7,7.8,133,5.9
1021,atlanta_2015,30004,44252,31681,71.6,3.9,1747,5.7
1022,atlanta_2015,30005,27252,19543,71.7,5.9,804,4.4
1023,atlanta_2015,30009,11381,7315,64.3,7.0,301,4.4
1024,atlanta_2015,30022,52155,36660,70.3,6.9,1930,5.7
1025,atlanta_2015,30024,51160,35983,70.3,4.9,1661,4.9
1026,atlanta_2015,30075,42886,29876,69.7,4.9,1188,4.2
1027,atlanta_2015,30076,33733,24218,71.8,5.4,1048,4.6
1028,atlanta_2015,30092,26054,19356,74.3,7.2,837,4.7
1029,atlanta_2015,30097,34268,22517,65.7,7.6,814,3.9
1030,atlanta_2015,30213,22739,15351,67.5,8.6,347,2.5
1031,atlanta_2015,30268,7137,4470,62.6,11.9,61,1.6
1032,atlanta_2015,30291,15818,9824,62.1,17.0,441,5.4
1033,atlanta_2015,30296,20698,14118,68.2,14.0,144,1.2
1034,atlanta_2015,30303,6206,2581,41.6,24.4,59,3.0
1035,atlanta_2015,30305,18769,13280,70.8,3.4,381,3.0
1036,atlanta_2015,30306,18712,14572,77.9,3.3,691,4.9
1037,atlanta_2015,30307,15255,11683,76.6,4.4,525,4.7
1038,atlanta_2015,30308,15807,12454,78.8,7.9,531,4.6
1039,atlanta_2015,30309,19936,15995,80.2,2.8,497,3.2
1040,atlanta_2015,30310,22908,13535,59.1,16.9,301,2.7
1041,atlanta_2015,30311,27811,15810,56.8,22.8,320,2.6
1042,atlanta_2015,30312,18590,13459,72.4,8.9,581,4.7
1043,atlanta_2015,30313,10294,5481,53.2,19.6,143,3.2
1044,atlanta_2015,30314,20144,10863,53.9,20.1,377,4.3
1045,atlanta_2015,30315,26122,13274,50.8,19.9,329,3.1
1046,atlanta_2015,30316,26922,17346,64.4,10.4,698,4.5
1047,atlanta_2015,30317,10200,7121,69.8,9.0,196,3.0
1048,atlanta_2015,30318,41685,26150,62.7,12.4,1045,4.6
1049,atlanta_2015,30319,32938,24043,73.0,3.4,1040,4.5
1050,atlanta_2015,30324,23965,18806,78.5,7.1,682,3.9
1051,atlanta_2015,30326,4924,3628,73.7,3.9,190,5.5
1052,atlanta_2015,30327,18487,10599,57.3,4.8,359,3.6
1053,atlanta_2015,30328,27891,19537,70.0,5.6,1273,6.9
1054,atlanta_2015,30331,46945,29710,63.3,16.7,850,3.4
1055,atlanta_2015,30332,3367,962,28.6,17.5,6,0.8
1056,atlanta_2015,30334,0,0,-,-,0,-
1057,atlanta_2015,30336,462,199,43.1,16.6,0,0.0
