,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor,average_yearly_rate_of_change,total_ARC
336,miami_2015,33168,24177,15083,62.4,14.1,141,1.1,-0.21,-0.09
337,miami_2016,33168,23741,14737,62.1,12.3,141,1.1,0.0,-0.09
338,miami_2017,33168,23536,14708,62.5,12.3,135,1.0,-0.09,-0.09
339,miami_2018,33168,23710,14693,62.0,9.9,93,0.7,-0.3,-0.09
340,miami_2019,33168,22686,14058,62.0,7.4,75,0.6,-0.14,-0.09
341,miami_2011,33172,31467,20655,65.6,9.8,567,3.1,0.0,-0.02
342,miami_2012,33172,30882,20411,66.1,10.8,417,2.3,-0.26,-0.02
343,miami_2013,33172,32325,21089,65.2,11.2,358,1.9,-0.17,-0.02
344,miami_2014,33172,33207,21409,64.5,9.6,428,2.2,0.16,-0.02
345,miami_2015,33172,33668,21959,65.2,8.4,556,2.8,0.27,-0.02
346,miami_2016,33172,34324,22603,65.9,6.3,462,2.2,-0.21,-0.02
347,miami_2017,33172,35959,23433,65.2,4.8,642,2.9,0.32,-0.02
348,miami_2018,33172,36005,23384,64.9,4.2,625,2.8,-0.03,-0.02
349,miami_2019,33172,36116,23768,65.8,4.0,495,2.2,-0.21,-0.02
350,miami_2011,33183,29579,19859,67.1,8.2,348,1.9,0.0,-0.01
351,miami_2012,33183,30131,20641,68.5,9.9,400,2.2,0.16,-0.01
352,miami_2013,33183,31581,21045,66.6,11.4,470,2.5,0.14,-0.01
353,miami_2014,33183,31582,20721,65.6,11.0,301,1.6,-0.36,-0.01
354,miami_2015,33183,32093,20749,64.7,9.2,341,1.8,0.12,-0.01
355,miami_2016,33183,32366,20859,64.4,7.4,337,1.7,-0.06,-0.01
356,miami_2017,33183,32445,20718,63.9,6.4,368,1.9,0.12,-0.01
357,miami_2018,33183,31007,19929,64.3,5.5,343,1.8,-0.05,-0.01
358,miami_2019,33183,30789,19508,63.4,4.3,280,1.5,-0.17,-0.01
359,miami_2011,33187,13128,8391,63.9,10.7,83,1.1,0.0,0.17
360,miami_2012,33187,12651,8083,63.9,12.3,89,1.3,0.18,0.17
361,miami_2013,33187,13784,8660,62.8,10.4,85,1.1,-0.15,0.17
362,miami_2014,33187,13114,8436,64.3,8.4,78,1.0,-0.09,0.17
363,miami_2015,33187,13796,8785,63.7,9.0,67,0.8,-0.2,0.17
364,miami_2016,33187,14997,9532,63.6,7.1,58,0.7,-0.12,0.17
365,miami_2017,33187,15045,9980,66.3,6.5,208,2.2,2.14,0.17
366,miami_2018,33187,15771,10525,66.7,6.6,212,2.2,0.0,0.17
367,miami_2019,33187,15929,10446,65.6,5.4,172,1.7,-0.23,0.17
368,miami_2011,33189,17641,11854,67.2,10.4,218,2.1,0.0,-0.11
369,miami_2012,33189,16581,10965,66.1,10.7,267,2.7,0.29,-0.11
370,miami_2013,33189,18007,11755,65.3,10.6,356,3.4,0.26,-0.11
371,miami_2014,33189,19148,12456,65.1,9.9,333,3.0,-0.12,-0.11
372,miami_2015,33189,19577,12635,64.5,9.5,250,2.2,-0.27,-0.11
373,miami_2016,33189,20510,13519,65.9,7.1,278,2.2,0.0,-0.11
374,miami_2017,33189,21102,14332,67.9,7.5,174,1.3,-0.41,-0.11
375,miami_2018,33189,21057,14130,67.1,5.4,76,0.6,-0.54,-0.11
376,miami_2019,33189,19896,13235,66.5,4.6,60,0.5,-0.17,-0.11
377,miami_2011,33194,5728,2835,49.5,8.2,70,2.7,0.0,-0.02
378,miami_2012,33194,6305,3064,48.6,9.7,67,2.4,-0.11,-0.02
379,miami_2013,33194,6227,2786,44.7,8.0,44,1.7,-0.29,-0.02
380,miami_2014,33194,7277,3463,47.6,7.6,0,0.0,-1.0,-0.02
381,miami_2015,33194,6465,2946,45.6,5.7,0,0.0,0.0,-0.02
382,miami_2016,33194,5976,2580,43.2,7,0,0,0.0,-0.02
383,miami_2017,33194,6333,2867,45.3,5.5,29,1.1,0.0,-0.02
384,miami_2018,33194,6880,3286,47.8,3.7,20,0.6,-0.46,-0.02
385,miami_2019,33194,6584,3100,47.1,2.3,48,1.6,1.67,-0.02
386,atlanta_2011,30005,24684,18135,73.5,5.5,891,5.2,0.0,0.01
387,atlanta_2012,30005,25836,18895,73.1,4.7,973,5.4,0.04,0.01
388,atlanta_2013,30005,26395,18907,71.6,6.6,958,5.4,0.0,0.01
389,atlanta_2014,30005,27110,19139,70.6,6.5,882,4.9,-0.09,0.01
390,atlanta_2015,30005,27252,19543,71.7,5.9,804,4.4,-0.1,0.01
391,atlanta_2016,30005,29128,20499,70.4,5.2,906,4.7,0.07,0.01
392,atlanta_2017,30005,29847,21045,70.5,5.6,882,4.4,-0.06,0.01
393,atlanta_2018,30005,29694,21278,71.7,4.4,1134,5.6,0.27,0.01
394,atlanta_2019,30005,29699,21511,72.4,3.5,1096,5.3,-0.05,0.01
395,atlanta_2011,30092,23975,18043,75.3,9.1,926,5.7,0.0,-0.02
396,atlanta_2012,30092,23977,17926,74.8,8.7,707,4.3,-0.25,-0.02
397,atlanta_2013,30092,24744,18499,74.8,9.6,767,4.6,0.07,-0.02
398,atlanta_2014,30092,25813,19158,74.2,8.6,723,4.1,-0.11,-0.02
399,atlanta_2015,30092,26054,19356,74.3,7.2,837,4.7,0.15,-0.02
400,atlanta_2016,30092,26934,19640,72.9,7.0,779,4.3,-0.08,-0.02
401,atlanta_2017,30092,28110,20656,73.5,5.4,914,4.7,0.09,-0.02
402,atlanta_2018,30092,28201,20697,73.4,4.2,984,5.0,0.06,-0.02
403,atlanta_2019,30092,28369,20355,71.8,3.3,879,4.5,-0.1,-0.02
404,atlanta_2011,30097,28772,19332,67.2,6.2,838,4.6,0.0,-0.02
405,atlanta_2012,30097,30173,19972,66.2,6.6,778,4.2,-0.09,-0.02
406,atlanta_2013,30097,31034,20986,67.6,6.6,775,4.0,-0.05,-0.02
407,atlanta_2014,30097,32753,21859,66.7,6.5,783,3.8,-0.05,-0.02
408,atlanta_2015,30097,34268,22517,65.7,7.6,814,3.9,0.03,-0.02
409,atlanta_2016,30097,35860,23989,66.9,7.1,769,3.5,-0.1,-0.02
410,atlanta_2017,30097,35798,24154,67.5,6.1,889,3.9,0.11,-0.02
411,atlanta_2018,30097,36764,24620,67.0,5.6,953,4.1,0.05,-0.02
412,atlanta_2019,30097,37148,25190,67.8,4.5,944,3.9,-0.05,-0.02
413,atlanta_2011,30314,19269,9474,49.2,20.7,152,2.0,0.0,0.02
414,atlanta_2012,30314,19006,9807,51.6,21.4,274,3.6,0.8,0.02
415,atlanta_2013,30314,18668,9609,51.5,20.4,262,3.4,-0.06,0.02
416,atlanta_2014,30314,18655,9486,50.8,22.7,311,4.2,0.24,0.02
417,atlanta_2015,30314,20144,10863,53.9,20.1,377,4.3,0.02,0.02
418,atlanta_2016,30314,19738,10690,54.2,18.0,356,4.1,-0.05,0.02
419,atlanta_2017,30314,20864,11336,54.3,17.8,283,3.0,-0.27,0.02
420,atlanta_2018,30314,20394,10637,52.2,16.4,183,2.1,-0.3,0.02
421,atlanta_2019,30314,20723,10188,49.2,11.8,175,1.9,-0.1,0.02
422,atlanta_2011,30318,44273,28934,65.4,14.9,979,4.0,0.0,0.01
423,atlanta_2012,30318,43972,28387,64.6,16.0,1029,4.3,0.08,0.01
424,atlanta_2013,30318,44080,28363,64.3,17.2,990,4.2,-0.02,0.01
425,atlanta_2014,30318,43026,27692,64.4,14.6,1016,4.3,0.02,0.01
426,atlanta_2015,30318,41685,26150,62.7,12.4,1045,4.6,0.07,0.01
427,atlanta_2016,30318,41745,25441,60.9,9.7,903,3.9,-0.15,0.01
428,atlanta_2017,30318,42254,26033,61.6,8.0,996,4.2,0.08,0.01
429,atlanta_2018,30318,45302,28662,63.3,7.5,1195,4.5,0.07,0.01
430,atlanta_2019,30318,46856,30020,64.1,6.5,1334,4.8,0.07,0.01
431,atlanta_2011,30342,22829,17760,77.8,6.1,334,2.0,0.0,0.05
432,atlanta_2012,30342,23876,18033,75.5,6.1,445,2.6,0.3,0.05
433,atlanta_2013,30342,24809,18755,75.6,7.4,502,2.9,0.12,0.05
434,atlanta_2014,30342,23763,17956,75.6,6.2,596,3.5,0.21,0.05
435,atlanta_2015,30342,23575,17948,76.1,4.4,677,4.0,0.14,0.05
436,atlanta_2016,30342,23203,17518,75.5,3.6,699,4.1,0.02,0.05
437,atlanta_2017,30342,22653,17369,76.7,3.1,700,4.2,0.02,0.05
438,atlanta_2018,30342,23367,17759,76.0,2.8,866,5.0,0.19,0.05
439,atlanta_2019,30342,24042,18366,76.4,2.8,860,4.8,-0.04,0.05
440,atlanta_2011,30349,49870,37095,74.4,14.8,916,2.9,0.0,-0.01
441,atlanta_2012,30349,49331,36319,73.6,15.0,949,3.1,0.07,-0.01
442,atlanta_2013,30349,50645,36910,72.9,16.1,966,3.1,0.0,-0.01
443,atlanta_2014,30349,50907,36286,71.3,15.8,1077,3.5,0.13,-0.01
444,atlanta_2015,30349,51831,36030,69.5,14.4,1012,3.3,-0.06,-0.01
445,atlanta_2016,30349,51546,36430,70.7,13.4,1003,3.2,-0.03,-0.01
446,atlanta_2017,30349,52910,37598,71.1,12.9,1164,3.6,0.12,-0.01
447,atlanta_2018,30349,56062,38625,68.9,10.5,1001,2.9,-0.19,-0.01
448,atlanta_2019,30349,57477,40232,70.0,8.8,893,2.4,-0.17,-0.01
449,atlanta_2011,30354,11263,7023,62.4,15.0,123,2.1,0.0,0.16
450,atlanta_2012,30354,11798,7259,61.5,19.7,148,2.5,0.19,0.16
451,atlanta_2013,30354,12394,7366,59.4,22.1,145,2.5,0.0,0.16
452,atlanta_2014,30354,12477,7491,60.0,22.8,139,2.4,-0.04,0.16
453,atlanta_2015,30354,12720,7699,60.5,19.0,31,0.5,-0.79,0.16
454,atlanta_2016,30354,12784,7491,58.6,13.5,141,2.2,3.4,0.16
455,atlanta_2017,30354,12990,7708,59.3,12.1,147,2.2,0.0,0.16
456,atlanta_2019,30354,12155,8422,69.3,8.3,182,2.4,0.2,0.16
457,atlanta_2011,30354,11263,7023,62.4,15.0,123,2.1,0.0,0.16
458,atlanta_2012,30354,11798,7259,61.5,19.7,148,2.5,0.19,0.16
459,atlanta_2013,30354,12394,7366,59.4,22.1,145,2.5,0.0,0.16
460,atlanta_2014,30354,12477,7491,60.0,22.8,139,2.4,-0.04,0.16
461,atlanta_2015,30354,12720,7699,60.5,19.0,31,0.5,-0.79,0.16
462,atlanta_2016,30354,12784,7491,58.6,13.5,141,2.2,3.4,0.16
463,atlanta_2017,30354,12990,7708,59.3,12.1,147,2.2,0.0,0.16
464,atlanta_2019,30354,12155,8422,69.3,8.3,182,2.4,0.2,0.16
