,city_year,zip_code,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry_population,information_as_percent_of_labor,average_yearly_rate_of_change,total_ARC
79,miami_2018,33140,17886,10879,60.8,3.4,322,3.1,-0.09,0.06
80,miami_2019,33140,16472,10236,62.1,3.2,249,2.5,-0.19,0.06
81,miami_2011,33149,9065,5129,56.6,3.0,114,2.3,0.0,0.14
82,miami_2012,33149,8894,4843,54.5,3.4,239,5.1,1.22,0.14
83,miami_2013,33149,8793,5071,57.7,5.4,229,4.8,-0.06,0.14
84,miami_2014,33149,9069,5146,56.7,4.7,166,3.4,-0.29,0.14
85,miami_2015,33149,9446,5224,55.3,4.8,205,4.1,0.21,0.14
86,miami_2016,33149,9748,5442,55.8,4.7,163,3.1,-0.24,0.14
87,miami_2017,33149,9734,5652,58.1,4.3,135,2.5,-0.19,0.14
88,miami_2018,33149,9781,5816,59.5,4.4,198,3.6,0.44,0.14
89,miami_2019,33149,9737,5918,60.8,5.3,234,4.2,0.17,0.14
90,miami_2011,33162,34268,23288,68.0,13.3,245,1.2,0.0,-0.07
91,miami_2012,33162,35197,24025,68.3,17.5,318,1.6,0.33,-0.07
92,miami_2013,33162,35747,24118,67.5,17.8,361,1.8,0.12,-0.07
93,miami_2014,33162,37371,24493,65.5,16.7,375,1.8,0.0,-0.07
94,miami_2015,33162,38133,24293,63.7,14.5,382,1.8,0.0,-0.07
95,miami_2016,33162,38034,24019,63.2,12.5,336,1.6,-0.11,-0.07
96,miami_2017,33162,37790,24061,63.7,10.2,238,1.1,-0.31,-0.07
97,miami_2018,33162,38187,25018,65.5,10.5,201,0.9,-0.18,-0.07
98,miami_2019,33162,37227,24413,65.6,6.8,117,0.5,-0.44,-0.07
99,miami_2011,33162,34268,23288,68.0,13.3,245,1.2,0.0,-0.07
100,miami_2012,33162,35197,24025,68.3,17.5,318,1.6,0.33,-0.07
101,miami_2013,33162,35747,24118,67.5,17.8,361,1.8,0.12,-0.07
102,miami_2014,33162,37371,24493,65.5,16.7,375,1.8,0.0,-0.07
103,miami_2015,33162,38133,24293,63.7,14.5,382,1.8,0.0,-0.07
104,miami_2016,33162,38034,24019,63.2,12.5,336,1.6,-0.11,-0.07
105,miami_2017,33162,37790,24061,63.7,10.2,238,1.1,-0.31,-0.07
106,miami_2018,33162,38187,25018,65.5,10.5,201,0.9,-0.18,-0.07
107,miami_2019,33162,37227,24413,65.6,6.8,117,0.5,-0.44,-0.07
108,miami_2011,33168,20988,14061,67.0,14.2,192,1.6,0.0,-0.09
109,miami_2012,33168,22371,14294,63.9,15.6,156,1.3,-0.19,-0.09
110,miami_2013,33168,22702,14443,63.6,16.3,211,1.7,0.31,-0.09
111,miami_2014,33168,23565,14547,61.7,17.1,165,1.4,-0.18,-0.09
112,miami_2015,33168,24177,15083,62.4,14.1,141,1.1,-0.21,-0.09
113,miami_2016,33168,23741,14737,62.1,12.3,141,1.1,0.0,-0.09
114,miami_2017,33168,23536,14708,62.5,12.3,135,1.0,-0.09,-0.09
115,miami_2018,33168,23710,14693,62.0,9.9,93,0.7,-0.3,-0.09
116,miami_2019,33168,22686,14058,62.0,7.4,75,0.6,-0.14,-0.09
117,miami_2011,33172,31467,20655,65.6,9.8,567,3.1,0.0,-0.02
118,miami_2012,33172,30882,20411,66.1,10.8,417,2.3,-0.26,-0.02
119,miami_2013,33172,32325,21089,65.2,11.2,358,1.9,-0.17,-0.02
120,miami_2014,33172,33207,21409,64.5,9.6,428,2.2,0.16,-0.02
121,miami_2015,33172,33668,21959,65.2,8.4,556,2.8,0.27,-0.02
122,miami_2016,33172,34324,22603,65.9,6.3,462,2.2,-0.21,-0.02
123,miami_2017,33172,35959,23433,65.2,4.8,642,2.9,0.32,-0.02
124,miami_2018,33172,36005,23384,64.9,4.2,625,2.8,-0.03,-0.02
125,miami_2019,33172,36116,23768,65.8,4.0,495,2.2,-0.21,-0.02
126,miami_2011,33183,29579,19859,67.1,8.2,348,1.9,0.0,-0.01
127,miami_2012,33183,30131,20641,68.5,9.9,400,2.2,0.16,-0.01
128,miami_2013,33183,31581,21045,66.6,11.4,470,2.5,0.14,-0.01
129,miami_2014,33183,31582,20721,65.6,11.0,301,1.6,-0.36,-0.01
130,miami_2015,33183,32093,20749,64.7,9.2,341,1.8,0.12,-0.01
131,miami_2016,33183,32366,20859,64.4,7.4,337,1.7,-0.06,-0.01
132,miami_2017,33183,32445,20718,63.9,6.4,368,1.9,0.12,-0.01
133,miami_2018,33183,31007,19929,64.3,5.5,343,1.8,-0.05,-0.01
134,miami_2019,33183,30789,19508,63.4,4.3,280,1.5,-0.17,-0.01
135,miami_2011,33187,13128,8391,63.9,10.7,83,1.1,0.0,0.17
