zip_atlanta_2014,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,43104,30723,71.3,4.0,1966,6.7
 30005,27110,19139,70.6,6.5,882,4.9
 30009,11051,6708,60.7,5.9,314,5.0
 30022,50127,35305,70.4,7.6,1809,5.6
 30024,49804,34819,69.9,6.0,1573,4.8
 30075,42900,29600,69.0,5.2,1224,4.4
 30076,33482,23887,71.3,7.2,1195,5.4
 30092,25813,19158,74.2,8.6,723,4.1
 30097,32753,21859,66.7,6.5,783,3.8
 30213,22246,15294,68.7,11.9,426,3.2
 30268,7187,4640,64.6,12.7,39,1.0
 30291,15377,9580,62.3,15.8,308,3.8
 30296,20743,14360,69.2,16.7,137,1.1
 30303,5534,2182,39.4,18.7,35,2.0
 30305,18248,12507,68.5,4.4,434,3.6
 30306,18526,14469,78.1,4.5,815,5.9
 30307,14739,11402,77.4,4.5,567,5.2
 30308,16015,12014,75.0,10.1,526,4.9
 30309,19458,15745,80.9,4.2,564,3.7
 30310,22784,13057,57.3,19.5,423,4.0
 30311,28067,15941,56.8,22.7,335,2.7
 30312,16979,12174,71.7,10.5,515,4.7
 30313,9023,4778,53.0,15.1,161,4.0
 30314,18655,9486,50.8,22.7,311,4.2
 30315,26494,13648,51.5,22.2,327,3.1
 30316,26501,17097,64.5,12.7,638,4.3
 30317,10078,7145,70.9,9.8,190,3.0
 30318,43026,27692,64.4,14.6,1016,4.3
 30319,32350,23354,72.2,4.0,1003,4.5
 30324,23313,18530,79.5,8.8,676,4.0
 30326,5113,3709,72.5,3.3,186,5.2
 30327,18119,10579,58.4,4.6,303,3.0
 30328,26962,19274,71.5,7.3,990,5.6
 30331,46761,29531,63.2,18.5,782,3.3
 30332,3100,904,29.2,20.5,13,1.8
 30334,0,0,-,-,0,-
 30336,468,225,48.1,18.2,0,0.0
 30337,9139,6332,69.3,17.3,85,1.6
 30338,25653,16962,66.1,6.0,728,4.6
 30339,18111,14162,78.2,4.0,748,5.5
 30342,23763,17956,75.6,6.2,596,3.5
 30344,26009,16867,64.9,19.9,265,2.0
 30349,50907,36286,71.3,15.8,1077,3.5
 30350,28504,21831,76.6,8.1,827,4.1
 30354,12477,7491,60.0,22.8,139,2.4
 30363,3116,2452,78.7,7.8,133,5.9
Georgia,7693577,4868842,63.3,10.8,107282,2.5
"Atlanta CCD, Fulton County, Georgia",458234,303983,66.3,12.1,10781,4.0
