zip_atlanta_2018,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,48561,34531,71.1,3.0,1800,5.4
 30005,29694,21278,71.7,4.4,1134,5.6
 30009,12280,8228,67.0,5.9,346,4.5
 30022,53443,38213,71.5,4.2,1732,4.7
 30024,57533,39901,69.4,3.3,1370,3.6
 30075,42146,28500,67.6,3.6,1189,4.3
 30076,35468,26031,73.4,3.1,894,3.5
 30092,28201,20697,73.4,4.2,984,5.0
 30097,36764,24620,67.0,5.6,953,4.1
 30213,23662,16395,69.3,5.6,489,3.2
 30268,7942,4344,54.7,8.1,55,1.4
 30291,16104,10504,65.2,11.0,269,2.9
 30296,21895,14762,67.4,10.0,229,1.7
 30303,6627,2795,42.2,17.6,101,4.4
 30305,20229,14456,71.5,1.3,610,4.3
 30306,20250,15857,78.3,2.6,746,4.8
 30307,16400,12568,76.6,4.6,602,5.0
 30308,16898,13434,79.5,3.7,706,5.5
 30309,22354,17986,80.5,2.7,650,3.7
 30310,23175,14662,63.3,10.5,422,3.2
 30311,29143,16932,58.1,16.0,447,3.2
 30312,18871,13711,72.7,4.2,858,6.5
 30313,10949,5215,47.6,15.4,93,2.1
 30314,20394,10637,52.2,16.4,183,2.1
 30315,26879,14702,54.7,14.3,308,2.5
 30316,27910,19661,70.4,5.6,971,5.2
 30317,10834,7796,72.0,6.2,269,3.7
 30318,45302,28662,63.3,7.5,1195,4.5
 30319,34803,25823,74.2,2.2,1082,4.3
 30324,24140,18763,77.7,2.7,954,5.2
 30326,5705,4423,77.5,4.7,215,5.1
 30327,17861,10604,59.4,2.8,474,4.6
 30328,30734,22107,71.9,2.4,1175,5.4
 30331,50127,31059,62.0,13.1,735,2.7
 30332,3115,791,25.4,5.3,0,0.0
 30334,0,0,-,-,0,-
 30336,220,80,36.4,0.0,0,0.0
 30337,10400,6971,67.0,8.5,183,2.9
 30338,26881,17835,66.3,3.7,809,4.7
 30339,21144,16523,78.1,2.9,455,2.8
 30342,23367,17759,76.0,2.8,866,5.0
 30344,25919,17625,68.0,9.1,412,2.6
 30349,56062,38625,68.9,10.5,1001,2.9
 30350,32725,24952,76.2,5.0,1074,4.5
 30354,12732,8069,63.4,9.2,145,2.0
 30363,3441,2250,65.4,4.7,205,9.6
Georgia,8082220,5091132,63.0,6.4,112990,2.4
"Atlanta CCD, Fulton County, Georgia",494359,330751,66.9,7.0,12751,4.2
