zip_atlanta_2011,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,37417,27032,72.2,5.2,2139,8.3
 30005,24684,18135,73.5,5.5,891,5.2
 30009,9553,6525,68.3,3.7,418,6.6
 30022,46501,34363,73.9,5.9,1817,5.6
 30024,45597,32395,71.0,6.8,1276,4.2
 30075,40333,28432,70.5,6.1,1437,5.4
 30076,31724,23402,73.8,5.9,1025,4.7
 30092,23975,18043,75.3,9.1,926,5.7
 30097,28772,19332,67.2,6.2,838,4.6
 30213,19476,14078,72.3,13.1,441,3.6
 30268,6688,4534,67.8,11.1,93,2.3
 30291,14245,9997,70.2,11.9,258,2.9
 30296,19247,14250,74.0,17.0,165,1.4
 30303,3392,1474,43.5,22.0,48,4.3
 30305,17987,12017,66.8,5.4,453,4.0
 30306,18539,14743,79.5,5.1,827,5.9
 30307,14302,11174,78.1,5.0,672,6.3
 30308,14220,10971,77.2,8.6,698,7.0
 30309,19312,15848,82.1,4.1,695,4.6
 30310,19570,11456,58.5,16.4,413,4.4
 30311,25774,14979,58.1,17.9,162,1.3
 30312,14934,11287,75.6,8.3,617,6.0
 30313,10147,4976,49.0,12.8,139,3.2
 30314,19269,9474,49.2,20.7,152,2.0
 30315,25830,13469,52.1,18.9,316,2.9
 30316,26468,16450,62.2,13.7,747,5.3
 30317,9904,6959,70.3,11.4,347,5.6
 30318,44273,28934,65.4,14.9,979,4.0
 30319,30135,21141,70.2,4.9,1116,5.6
 30324,21125,17013,80.5,6.6,808,5.1
 30326,3989,2857,71.6,0.8,31,1.1
 30327,17853,11077,62.0,5.0,432,4.1
 30328,25144,17554,69.8,6.2,745,4.5
 30331,41961,27110,64.6,12.6,727,3.1
 30332,3513,1101,31.3,25.2,6,0.7
 30334,0,0,-,-,0,-
 30336,491,276,56.2,8.0,0,0.0
 30337,9143,6058,66.3,14.5,179,3.5
 30338,25381,16867,66.5,5.4,907,5.7
 30339,15730,12626,80.3,3.9,701,5.8
 30342,22829,17760,77.8,6.1,334,2.0
 30344,25600,17214,67.2,15.2,382,2.6
 30349,49870,37095,74.4,14.8,916,2.9
 30350,27484,20772,75.6,6.1,754,3.9
 30354,11263,7023,62.4,15.0,123,2.1
 30363,1954,1545,79.1,9.1,97,6.9
Georgia,7402545,4813601,65.0,9.9,113553,2.6
"Atlanta CCD, Fulton County, Georgia",430533,288896,67.1,10.5,10634,4.1
