zip_atlanta_2013,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,40015,28405,71.0,5.2,1745,6.5
 30005,26395,18907,71.6,6.6,958,5.4
 30009,11238,7241,64.4,4.7,327,4.7
 30022,48938,35173,71.9,7.6,1637,5.0
 30024,47796,33671,70.4,7.4,1501,4.8
 30075,43255,29791,68.9,6.8,1208,4.4
 30076,32295,23048,71.4,7.0,1043,4.9
 30092,24744,18499,74.8,9.6,767,4.6
 30097,31034,20986,67.6,6.6,775,4.0
 30213,21107,14809,70.2,13.4,453,3.5
 30268,7314,5021,68.6,13.7,63,1.5
 30291,15417,10032,65.1,15.1,285,3.3
 30296,20267,14261,70.4,17.9,140,1.2
 30303,4949,2084,42.1,22.7,21,1.3
 30305,17953,12123,67.5,5.4,380,3.3
 30306,17661,13797,78.1,4.9,731,5.6
 30307,14614,11199,76.6,5.1,567,5.3
 30308,15285,11427,74.8,12.5,571,5.7
 30309,19112,15283,80.0,4.5,738,5.1
 30310,22013,12863,58.4,21.3,422,4.2
 30311,27654,15790,57.1,21.9,280,2.3
 30312,16413,12422,75.7,10.9,497,4.5
 30313,8925,4477,50.2,13.5,117,3.0
 30314,18668,9609,51.5,20.4,262,3.4
 30315,25971,13201,50.8,21.0,301,2.9
 30316,25786,16299,63.2,13.3,742,5.3
 30317,9813,6777,69.1,10.5,196,3.2
 30318,44080,28363,64.3,17.2,990,4.2
 30319,31622,22711,71.8,5.2,1141,5.3
 30324,23076,18721,81.1,8.2,708,4.1
 30326,4497,3302,73.4,2.3,73,2.3
 30327,17815,10455,58.7,5.8,344,3.5
 30328,26408,18564,70.3,6.7,870,5.0
 30331,45451,29344,64.6,16.9,774,3.2
 30332,3200,988,30.9,22.0,16,2.1
 30334,0,0,-,-,0,-
 30336,582,304,52.2,17.4,0,0.0
 30337,8832,6081,68.9,16.9,63,1.2
 30338,25573,17015,66.5,6.8,739,4.7
 30339,17030,13691,80.4,3.2,698,5.3
 30342,24809,18755,75.6,7.4,502,2.9
 30344,25595,16735,65.4,19.4,322,2.4
 30349,50645,36910,72.9,16.1,966,3.1
 30350,26852,20376,75.9,9.4,709,3.9
 30354,12394,7366,59.4,22.1,145,2.5
 30363,2757,2125,77.1,9.8,103,5.4
Georgia,7598174,4852644,63.9,11.4,106487,2.5
"Atlanta CCD, Fulton County, Georgia",448632,298465,66.5,12.5,10320,4.0
