zip_atlanta_2019,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,49629,35457,71.4,3.0,1906,5.5
 30005,29699,21511,72.4,3.5,1096,5.3
 30009,13595,9332,68.6,5.2,431,4.9
 30022,53189,37898,71.3,4.4,1815,5.0
 30024,59001,40650,68.9,3.6,1224,3.1
 30075,42573,28395,66.7,4.2,1167,4.3
 30076,35964,26474,73.6,3.1,769,3.0
 30092,28369,20355,71.8,3.3,879,4.5
 30097,37148,25190,67.8,4.5,944,3.9
 30213,25159,18059,71.8,4.5,591,3.4
 30268,7968,4627,58.1,7.0,54,1.3
 30291,15739,10852,68.9,7.1,151,1.5
 30296,21592,14328,66.4,8.6,233,1.8
 30303,6580,2704,41.1,17.8,111,5.0
 30305,20968,14950,71.3,1.2,580,3.9
 30306,19989,15517,77.6,3.2,712,4.7
 30307,16729,12924,77.3,4.5,563,4.6
 30308,17798,13945,78.4,3.5,605,4.5
 30309,24113,19286,80.0,2.2,718,3.8
 30310,22620,14770,65.3,10.0,315,2.4
 30311,28836,16360,56.7,13.2,417,2.9
 30312,20516,15379,75.0,3.7,975,6.6
 30313,11048,4900,44.4,12.9,81,1.9
 30314,20723,10188,49.2,11.8,175,1.9
 30315,26575,15104,56.8,11.3,378,2.8
 30316,28320,20321,71.8,5.3,1066,5.6
 30317,10723,7866,73.4,5.2,308,4.1
 30318,46856,30020,64.1,6.5,1334,4.8
 30319,35680,26473,74.2,2.7,1190,4.6
 30324,25413,20283,79.8,2.0,984,5.0
 30326,6268,4913,78.4,4.9,120,2.6
 30327,18272,10965,60.0,3.3,456,4.3
 30328,31880,22466,70.5,1.8,1009,4.6
 30331,51269,32096,62.6,9.8,767,2.7
 30332,3034,672,22.1,3.7,0,0.0
 30334,0,0,-,-,0,-
 30336,261,117,44.8,21.4,0,0.0
 30337,9858,6608,67.0,6.0,146,2.4
 30338,27348,18225,66.6,3.4,827,4.7
 30339,21672,17246,79.6,2.9,455,2.7
 30342,24042,18366,76.4,2.8,860,4.8
 30344,25633,17640,68.8,7.0,606,3.7
 30349,57477,40232,70.0,8.8,893,2.4
 30350,32620,25056,76.8,4.4,1065,4.5
 30354,12155,8422,69.3,8.3,182,2.4
 30363,3690,2395,64.9,4.6,192,8.4
Georgia,8187263,5174538,63.2,5.7,113365,2.3
"Atlanta CCD, Fulton County, Georgia",506468,341324,67.4,5.8,12633,3.9
