zip_atlanta_2017,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,47645,34128,71.6,3.5,2028,6.2
 30005,29847,21045,70.5,5.6,882,4.4
 30009,12420,8357,67.3,6.2,337,4.3
 30022,52635,37116,70.5,5.2,1924,5.5
 30024,54654,37697,69.0,3.5,1475,4.1
 30075,41890,28759,68.7,3.9,1087,3.9
 30076,35086,25336,72.2,3.6,820,3.4
 30092,28110,20656,73.5,5.4,914,4.7
 30097,35798,24154,67.5,6.1,889,3.9
 30213,23720,16266,68.6,6.9,605,4.0
 30268,8186,4864,59.4,10.9,83,1.9
 30291,15758,9928,63.0,13.7,276,3.2
 30296,21705,14338,66.1,9.9,189,1.5
 30303,6668,2864,43.0,21.8,71,3.2
 30305,20230,14665,72.5,2.0,521,3.6
 30306,19568,15283,78.1,3.4,814,5.5
 30307,16548,12553,75.9,5.1,623,5.2
 30308,16119,12779,79.3,5.0,604,5.0
 30309,21248,17002,80.0,3.0,634,3.8
 30310,23798,14328,60.2,13.3,412,3.3
 30311,28449,16632,58.5,17.0,430,3.1
 30312,18483,13237,71.6,5.3,915,7.3
 30313,10741,5443,50.7,16.6,87,1.9
 30314,20864,11336,54.3,17.8,283,3.0
 30315,26499,14295,53.9,15.1,354,2.9
 30316,28013,19610,70.0,6.7,801,4.4
 30317,10811,7869,72.8,7.3,216,3.0
 30318,42254,26033,61.6,8.0,996,4.2
 30319,33774,24866,73.6,2.4,999,4.1
 30324,23625,18171,76.9,3.3,900,5.1
 30326,5223,4079,78.1,5.5,211,5.5
 30327,18401,10739,58.4,3.0,452,4.3
 30328,30272,21802,72.0,3.3,1179,5.6
 30331,50185,31019,61.8,15.4,924,3.5
 30332,3165,788,24.9,4.7,0,0.0
 30334,0,0,-,-,0,-
 30336,329,128,38.9,0.0,0,0.0
 30337,10241,6634,64.8,12.8,142,2.5
 30338,26540,17525,66.0,5.3,820,4.9
 30339,20138,15239,75.7,1.9,601,4.0
 30342,22653,17369,76.7,3.1,700,4.2
 30344,26376,17624,66.8,11.1,505,3.2
 30349,52910,37598,71.1,12.9,1164,3.6
 30350,31671,24162,76.3,6.5,1081,4.8
 30354,12990,7708,59.3,12.1,147,2.2
 30363,3077,2157,70.1,6.0,173,8.5
Georgia,7985333,5026306,62.9,7.5,113019,2.5
"Atlanta CCD, Fulton County, Georgia",485305,322744,66.5,8.2,12397,4.2
