zip_atlanta_2015,total_population_over_16,labor_force,percent_in_labor_vs_population,unemployment,information_industry,information_as_percent_of_labor
 30004,44252,31681,71.6,3.9,1747,5.7
 30005,27252,19543,71.7,5.9,804,4.4
 30009,11381,7315,64.3,7.0,301,4.4
 30022,52155,36660,70.3,6.9,1930,5.7
 30024,51160,35983,70.3,4.9,1661,4.9
 30075,42886,29876,69.7,4.9,1188,4.2
 30076,33733,24218,71.8,5.4,1048,4.6
 30092,26054,19356,74.3,7.2,837,4.7
 30097,34268,22517,65.7,7.6,814,3.9
 30213,22739,15351,67.5,8.6,347,2.5
 30268,7137,4470,62.6,11.9,61,1.6
 30291,15818,9824,62.1,17.0,441,5.4
 30296,20698,14118,68.2,14.0,144,1.2
 30303,6206,2581,41.6,24.4,59,3.0
 30305,18769,13280,70.8,3.4,381,3.0
 30306,18712,14572,77.9,3.3,691,4.9
 30307,15255,11683,76.6,4.4,525,4.7
 30308,15807,12454,78.8,7.9,531,4.6
 30309,19936,15995,80.2,2.8,497,3.2
 30310,22908,13535,59.1,16.9,301,2.7
 30311,27811,15810,56.8,22.8,320,2.6
 30312,18590,13459,72.4,8.9,581,4.7
 30313,10294,5481,53.2,19.6,143,3.2
 30314,20144,10863,53.9,20.1,377,4.3
 30315,26122,13274,50.8,19.9,329,3.1
 30316,26922,17346,64.4,10.4,698,4.5
 30317,10200,7121,69.8,9.0,196,3.0
 30318,41685,26150,62.7,12.4,1045,4.6
 30319,32938,24043,73.0,3.4,1040,4.5
 30324,23965,18806,78.5,7.1,682,3.9
 30326,4924,3628,73.7,3.9,190,5.5
 30327,18487,10599,57.3,4.8,359,3.6
 30328,27891,19537,70.0,5.6,1273,6.9
 30331,46945,29710,63.3,16.7,850,3.4
 30332,3367,962,28.6,17.5,6,0.8
 30334,0,0,-,-,0,-
 30336,462,199,43.1,16.6,0,0.0
 30337,9969,6595,66.2,16.6,91,1.7
 30338,25623,17246,67.3,5.8,745,4.6
 30339,19012,14692,77.3,2.0,755,5.2
 30342,23575,17948,76.1,4.4,677,4.0
 30344,26225,17161,65.4,17.6,330,2.3
 30349,51831,36030,69.5,14.4,1012,3.3
 30350,29302,22693,77.4,7.6,914,4.4
 30354,12720,7699,60.5,19.0,31,0.5
 30363,3090,2449,79.3,7.5,115,5.1
Georgia,7792052,4906258,63.0,9.7,110166,2.5
"Atlanta CCD, Fulton County, Georgia",467470,310554,66.4,10.7,10919,3.9
